TID,AR
TID_BARBECUE_GRILL_DESCRIPTION,تشوي الطعام
TID_CAKE_OVEN_DESCRIPTION,يخبز الكعك
TID_JUICE_PRESS_DESCRIPTION,تعصر العصير
TID_JAM_MAKER_DESCRIPTION,تصنع المربى
TID_ICE_CREAM_MAKER_DESCRIPTION,تصنع المثلجات
TID_JEWELER_DESCRIPTION,يصنع المجوهرات
TID_APPLE_TREE_DESCRIPTION,الجمع ثلاث مرات
TID_CHERRY_TREE_DESCRIPTION,الجمع ثلاث مرات
TID_CACAO_TREE_DESCRIPTION,الجمع ثلاث مرات
TID_RASPBERRY_BUSH_DESCRIPTION,الجمع ثلاث مرات
TID_BLACKBERRY_BUSH_DESCRIPTION,للجمع ثلاث مرات
TID_NEED_MORE_POPUP_TITLE,موارد غير كافية!
TID_NEED_MORE_RESOURCES_CANT_BUY_TEXT,اجمع الموارد الناقصة لإكمال الطلب.
TID_NEED_MORE_POPUP_GENERIC_TEXT,احصل على الموارد المفقودة وقم بالإجراء باستخدام الماسات.
TID_NEED_MORE_CROPS_HINT,يمكنك شراء المحاصيل المفقودة من أحد الأصدقاء،\n\nأو شراؤها الآن بالماسات!
TID_NEED_MORE_CROPS_HINT_MOBILE,يمكنك شراء المحاصيل المفقودة من أحد الأصدقاء،\n\nأو شراؤها الآن بالماسات!
TID_NEED_MORE_ANIMAL_FOOD_HINT,قم بإعداد المزيد من الطعام لحيواناتك عن طريق طاحونة العلف. أو أطعمها الآن باستخدام الماسات.
TID_SILO_FULL_TITLE,الصومعة ممتلئة
TID_SILO_FULL_DESCRIPTION,الصومعة ممتلئة! احصل على مساحة إضافية بترقية صومعتك.
TID_WAREHOUSE_FULL_TITLE,الحظيرة ممتلئة
TID_WAREHOUSE_FULL_DESCRIPTION,الحظيرة ممتلئة! احصل على مساحة إضافية بترقية حظيرتك.
TID_WAREHOUSE_FULL_DESCRIPTION_MOBILE,الحظيرة ممتلئة! احصل على مساحة إضافية بترقية حظيرتك.
TID_LEVEL_UP_TITLE,تهانينا!
TID_LEVEL_UP_TEXT,أنت الآن مزارع من المستوى <LEVEL_NUMBER>!
TID_LEVEL_UP_ITEM_NEW,جديد!
TID_LEVEL_UP_ITEM_NEW_AND_REWARD,جديد! +<REWARD>
TID_ORDER_TABLE_TITLE,الطلبات
TID_ORDER_TITLE_00,الروضة
TID_ORDER_TITLE_01,المدرسة
TID_ORDER_TITLE_02,دار العبادة
TID_ORDER_TITLE_03,صالون خوان
TID_ORDER_TITLE_04,متجر سوزان
TID_ORDER_TITLE_05,طاحونة مايك
TID_ORDER_TITLE_06,مصنع بن للجعة
TID_ORDER_TITLE_07,مسمكة فابيو
TID_ORDER_TITLE_08,مصنع فرانك
TID_ORDER_TITLE_09,مدفن غرانت
TID_ORDER_TABLE_WAITING,يرجى الانتظار...
TID_ORDER_TABLE_WAITING_TEXT,هذا الطلب غير متاح. انتظر أو قم بزيادة السرعة!
TID_SOCIAL_LOGIN_TITLE,اكتشف المزيد من المزارعين
TID_SOCIAL_LOGIN_1_TEXT,قم بتسجيل الدخول إلى <SOCIAL_1> وابدأ في التجارة مع الأصدقاء!
TID_SOCIAL_LOGIN_2_TEXT,قم بتسجيل الدخول إلى <SOCIAL_1> أو <SOCIAL_2> وابدأ في التجارة مع الأصدقاء!
TID_ROADSIDE_SHOP_TITLE,المتجر الجانبي
TID_ROADSIDE_SHOP_FRIEND_TITLE,متجر <NAME> الجانبي
TID_ROADSIDE_SHOP_ITEM_COUNT,<COUNT> x
TID_ROADSIDE_SHOP_ITEM_SOLD,مباع!
TID_ROADSIDE_SHOP_CREATE_NEW_SALE,إنشاء عرض بيع جديد
TID_ROADSIDE_SHOP_NEW_SALE_TITLE,عرض بيع جديد
TID_ROADSIDE_SHOP_NEW_SALE_ADJUST_PRICE,ضبط السعر
TID_ROADSIDE_SHOP_NEW_SALE_CONFIRM_BUTTON,عرض للبيع
TID_ROADSIDE_SHOP_ADVERTISE,إعلان
TID_ROADSIDE_SHOP_ADVERTISE_WITH_TIME,أعلن الآن
TID_SHOP_TITLE,المتجر
TID_TUTORIAL_01,مرحبا! أنا السيد ويكر وسأساعدك لبدء طريقك في مزرعتك الجديدة!
TID_TUTORIAL_02a,انقر على حقل القمح والتقط المنجل. ثم احصد بسحب المنجل فوق القمح.
TID_TUTORIAL_03a,انقر على حقل فارغ. ثم اسحب القمح فوق الحقول لزراعة البذور.
TID_TUTORIAL_04,تحتاج البذور إلى الوقت للنمو. وعند حصادها، سينتج كل حقل وحدتين من المحاصيل.
TID_TUTORIAL_05a,انقر على منزلك واطله بسحب الفرشاة على المنزل.
TID_TUTORIAL_06a,جميل! تحتاج الحظيرة إلى بعض الألوان أيضا...
TID_TUTORIAL_07a,ينبغي عليك طلاء الصومعة أيضا!
TID_TUTORIAL_10,عظيم! والآن، دعونا ندعو بعض الأصدقاء من أصحاب الريش إلى الحفل!
TID_TUTORIAL_10a,اسحب دجاجة من المتجر إلى قن الدجاج.
TID_TUTORIAL_11a,لنشتر دجاجة أخرى!
TID_TUTORIAL_12a,ما رأيك في شراء دجاجة ثالثة؟
TID_TUTORIAL_13a,انقر على دجاجة واسحب حقيبة الأعلاف فوق الدجاج لتغذيتها.
TID_TUTORIAL_14a,انقر على دجاجة ثم انقر على زر زيادة سرعة الإنتاج!
TID_TUTORIAL_14b,انقر على دجاجة ثم انقر على زر زيادة سرعة الإنتاج مرتين!
TID_TUTORIAL_14c,انقر على دجاجة واضغط باستمرار على زر زيادة السرعة!
TID_TUTORIAL_15a,ممتاز! قم بزيادة سرعة إنتاج البيض للدجاجة الثانية أيضا.
TID_TUTORIAL_16a,مذهل! والآن إلى زيادة سرعة الإنتاج للدجاجة الأخيرة.
TID_TUTORIAL_17a,اسحب السلة فوق كل الدجاج لجمع البيض.
TID_TUTORIAL_20,رائع! ما رأيك في تحويل كل هذا القمح إلى خُبز بإنشاء مخبز جديد؟
TID_TUTORIAL_20a,افتح قائمة المتجر بالنقر على الزر في الركن الأيسر السفلي. اشتر مخبزًا بسحبه إلى أرضك.
TID_TUTORIAL_20a_MOBILE,افتح قائمة المتجر بالنقر على الزر في الركن الأيسر السفلي. اشتر مخبزًا بسحبه إلى أرضك.
TID_TUTORIAL_21a,انتظر حتى اكتمال عملية الإنشاء أو يمكنك زيادة سرعتها باستخدام الماسات.
TID_TUTORIAL_22a,انقر على المخبز واسحب الخبز إلى الفرن.
TID_TUTORIAL_23a,يمكنك إنهاء عملية الخبز في الحال وذلك بالنقر على زر زيادة السرعة تحت الخُبز. رائحته شهية!
TID_TUTORIAL_24,عند ارتفاع مستواك، ستفتح تحسينات جديدة. هناك في الوقت الحالي ثلاث رقعات جديدة من الحقل في انتظارك في المتجر!
TID_TUTORIAL_24a,افتح قائمة المتجر واسحب رقعات الحقل الثلاث الجديدة إلى أرضك.
TID_TUTORIAL_25a,هيا لنزرع المزيد من البذور. هل تذكر الطريقة؟ (انقر على الحقل!)
TID_TUTORIAL_26,المزرعة السعيدة أساسها حيوانات سعيدة. احرص على ألا تشعر حيواناتك بالجوع وذلك ببناء طاحونة علف!
TID_TUTORIAL_26a,يمكنك شراء طاحونة العلف وذلك بسحبها من المتجر إلى أرضك.
TID_TUTORIAL_27,العمل مزدهر! استمر في حصد الحقول وخبز الخُبز وإنتاج البيض للبيع.
TID_TUTORIAL_27a,تذكر، يمكنك زيادة سرعة نمو المحاصيل باستخدام زر زيادة السرعة.
TID_TUTORIAL_28,يا أهلا وسهلا، وصلت شاحنة التوصيل! استعد لطوفان من الطلبات!
TID_TUTORIAL_29,توضح لوحة الطلبات ماهية الطلبات المتاحة. اربح المال والخبرة بتسليم الطلبات.
TID_TUTORIAL_29a,انقر على الشاحنة أو لوحة الطلبات لتنفيذ أول عملية تسليم مطلوبة منك.
TID_TUTORIAL_30,ها هي تنطلق! شاحنة التوصيل الآن في طريقها إلى الروضة.
TID_TUTORIAL_30a,أهل البلدة لا يكتفون من مُنتجاتنا الطازجة. فلنكمل طلبا آخر.
TID_TUTORIAL_31,بدأت تتقن الأمر حقا! في الوقت الحالي، استمر في الزراعة وإكمال الطلبات.
TID_TUTORIAL_31a,استمر في الزراعة وإكمال الطلبات!
TID_TUTORIAL_36,مووووووو! لم تكن لدينا بقرة هنا منذ فترة طويلة!
TID_TUTORIAL_36a,يمكنك شراء مرعى الأبقار وذلك بسحب المرعى من المتجر.
TID_TUTORIAL_37a,بعد ذلك، اسحب بقرة إلى المرعى.
TID_TUTORIAL_38a,إنها جائعة، فلنطعمها!
TID_TUTORIAL_39,إن غذيت البقرة بشكل جيد فستنتج لك حليبا مغذيا لتجمعه.
TID_TUTORIAL_40,عندما تمتلك المال الكافي، اشتر معمل ألبان من المتجر. يمكن لمعمل الألبان تحويل الحليب إلى قشدة وزبدة بل وجبن!
TID_TUTORIAL_42,مرحبًا! اسمي مايك، وأنا المسؤول عن الطاحونة القديمة بالقرب من البلدة. مزرعتك رائعة، ما رأيك أن تختار اسمًا لها؟ تذكر: من الأفضل ألا تستخدم اسمك الحقيقي.
TID_TUTORIAL_45,تسرني معرفة أن هناك من يرعى المكان. حسنا، أراك لاحقا!
TID_TUTORIAL_46,هل هذه الرائحة المدهشة قادمة من هنا؟ المعذرة، لقد نسيت تقديم نفسي! أنا خوان.
TID_TUTORIAL_GUEST1,لدينا زائر! انقر فوقه لمعرفة ماذا يريد!
TID_TUTORIAL_GUEST2,زائر آخر! فلنسأله فيم يفكر.
TID_TUTORIAL_47a,لنرفع الغطاء أولا بالنقر عليه.
TID_TUTORIAL_48a,انتظر عودة شاحنة التوصيل ومعها مكافأتك، ثم انقر عليها لاستلام المكافأة!
TID_TUTORIAL_47,انظر، لقد أرسل لك أطفال الروضة رسالة شكر!
TID_TUTORIAL_GUEST3,من هذا الضخم؟
TID_TUTORIAL_48,مرحبا، أنا جارك غريغ. إن احتجت إلى بعض الأدوات، تعال إلى مزرعتي وسأساعدك!
TID_TUTORIAL_49,نحتاج إلى بعض الأدوات لتجهيز قطعة من الأرض. فلنقم بزيارة مزرعة غريغ!
TID_TUTORIAL_GUEST4,افتح شريط الأصدقاء!
TID_TUTORIAL_50,مرحبا بك في مزرعتي! احرص على معرفة ما أعرضه للبيع في المتجر الجانبي!
TID_TUTORIAL_51,شكرا لك على زيارتي! تذكر، يمكنك زيارتي أو زيارة الأصدقاء في أي وقت تريد!
TID_TUTORIAL_52,رائع، استفدت من غريغ كثيرا. يمكنك إضافة المزيد من الأصدقاء كجيران لك من شريط الأصدقاء.
TID_TUTORIAL_53,هذا هو متجرك الجانبي. يمكنك عرض بضائعك فيه للبيع ليشتريها اللاعبون الآخرون.
TID_TUTORIAL_54,يمكنك تحديد الكمية المنتجة التي تريد بيعها وتحديد السعر وحتى الإعلان عنها في الصحيفة المحلية! جرب هذا!
TID_TUTORIAL_54a,قم بتفقد متجرك الجانبي!
TID_TUTORIAL_55,ستجد الصحيفة في صندوق البريد. ويمكنك أن تجد فيها ما يعرضه الآخرون للبيع.
TID_TUTORIAL_55a,انقر على صندوق البريد لتقرأ الصحيفة المحلية!
TID_TUTORIAL_56,مرحبا! أتحتاج إلى المساعدة في زراعة محصولك الجديد؟ سأمنحك بعض الإرشادات!
TID_TUTORIAL_57,مرحبا! أريد أن أخبرك بأنك تستطيع تحريك وتدوير بل والتخلص من العناصر، انقر مع الضغط باستمرار على العنصر.
TID_TUTORIAL_57_MOBILE,مرحبا! أريد أن أخبرك بأنك تستطيع تحريك وتدوير بل والتخلص من العناصر، انقر مع الضغط باستمرار على العنصر.
TID_TUTORIAL_58a,ما هي القسائم؟
TID_TUTORIAL_59,هي مقتنيات يمكن الحصول عليها من إكمال طلبات القارب والأماكن الأخرى! إليك واحدة...
TID_TUTORIAL_59a,شكرا!
TID_TUTORIAL_60,انقر على المنزل واملأ الوعاء الفارغ بطعام شهي!
TID_TUTORIAL_61,والآن انتظر حتى يعود حيوانك إلى النوم.
TID_TUTORIAL_62,يشعر حيوانك بالسعادة والاسترخاء! تذكر إطعامه بانتظام لتبقه سعيدا وتجمع النقاط بعد نومه.
TID_TUTORIAL_63,انظر إلى حيوانك وهو يلعب ويمرح! تذكر أن تطعمه بانتظام لتبقه سعيدا وتجمع النقاط بعد نومه.
TID_TUTORIAL_63_MOBILE,انظر إلى حيوانك وهو يلعب ويمرح! تذكر أن تطعمه بانتظام لتبقه سعيدا وتجمع النقاط بعد نومه.
TID_TUTORIAL_64,مرحبا! هل تحتاج إلى المساعدة في إعداد البيتزا؟
TID_TUTORIAL_65,حان الوقت لتوفير بعض النّقود. تحتاج أرصفة التحميل إلى الإصلاح.
TID_TUTORIAL_66,أتحتاج إلى مساحة إضافية؟ لا تقلق! يمكنك البدء في التوسعة الآن.
TID_TUTORIAL_67,أتتفق معي أن الوقت مناسب لإصلاح المنجم القديم؟ ربما توجد به كنوز مجهولة.
TID_TUTORIAL_68,تهانينا، تم إصلاح أرصفة التحميل! يمكنك الآن إكمال طلبات القارب.
TID_TUTORIAL_69,هذه هي لوحة الصدارة للقارب. انقر عليها لمعرفة مقدار نجاحك أنت والأصدقاء.
TID_TUTORIAL_70,هل رأيت صندوق البريد الجديد البراق الخاص بك؟ أعتقد أن هناك شخص قادم. هل تسمع الصفير؟
TID_TUTORIAL_71,مرحى! لقد تلقيت أول رسالة. افتحها بنقر صندوق البريد.
TID_TUTORIAL_72,رائع! أرسل غريغ إليك قسيمة هدية. اجمع العدد الكافي وستتمكن من طلب حزمة غامضة عبر الكتالوج.
TID_TUTORIAL_72_MOBILE,رائع! أرسل غريغ إليك قسيمة هدية. اجمع العدد الكافي وستتمكن من طلب حزمة غامضة عبر الكتالوج.
TID_TUTORIAL_73,كيف تحصل على المزيد من الخطابات؟ ساعد مزارعين آخرين في مزارعهم وقد يرسلون لك خطابات في المقابل!
TID_TUTORIAL_74,ومع القليل من الحظ ربما يحتوي على بطاقة هدية. وتذكر: سيزورك ساعي البريد مرة في اليوم.
TID_TUTORIAL_GUEST5,انقر على صورة غريغ لزيارة مزرعته!
TID_TUTORIAL_GUEST6,انقر على متجر غريغ الجانبي لمعرفة ماذا لديه ليعرضه للبيع!
TID_LOADING_SCREEN_CONNECTING,يتم الاتصال
TID_LOADING_SCREEN_LOADING,يتم التحميل
TID_LOADING_SCREEN_UPDATING,يتم التحديث
TID_BUTTON_INCREASE_CAPACITY,زيادة السعة
TID_BUTTON_STORAGE,الرجوع
TID_STORAGE_UPGRADE_DESCRIPTION,زيادة سعة التخزين إلى <CAPACITY>
TID_PLANK_DESCRIPTION,للاستخدام في ترقية حظيرتك
TID_NAIL_DESCRIPTION,للاستخدام في ترقية صومعتك
TID_BOLT_DESCRIPTION,للاستخدام في ترقية حظيرتك
TID_SCREW_DESCRIPTION,للاستخدام في ترقية صومعتك
TID_DUCT_TAPE_DESCRIPTION,للاستخدام في ترقية حظيرتك
TID_WOOD_PANEL_DESCRIPTION,للاستخدام في ترقية صومعتك
TID_DYNAMITE_DESCRIPTION,للاستخدام في تفجير صخرة صغيرة
TID_DEMOLITION_CHARGE_DESCRIPTION,للاستخدام في تفجير صخرة ضخمة
TID_AXE_DESCRIPTION,للاستخدام في قطع شجرة صغيرة
TID_SAW_DESCRIPTION,للاستخدام في قطع شجرة كبيرة
TID_SHOVEL_DESCRIPTION,للاستخدام في إزالة مستنقع
TID_DAIRY_PRODUCT_DESCRIPTION,تُنتج في معمل الألبان
TID_BARBECUE_PRODUCT_DESCRIPTION,يُنتج في شواية اللحم
TID_BAKERY_PRODUCT_DESCRIPTION,يُنتج في المخبز
TID_LOOM_PRODUCT_DESCRIPTION,يُنتج بواسطة النول
TID_CAKE_OVEN_PRODUCT_DESCRIPTION,تُنتج في فرن الكعك
TID_PIE_OVEN_PRODUCT_DESCRIPTION,تُنتج في فرن الفطائر
TID_POPCORN_POT_PRODUCT_DESCRIPTION,يُنتج في آلة الفشار
TID_SUGAR_MILL_PRODUCT_DESCRIPTION,يُنتج في طاحونة السكر
TID_FEED_MILL_PRODUCT_DESCRIPTION,يُنتج في طاحونة العلف
TID_JUICE_PRESS_PRODUCT_DESCRIPTION,يُنتج في العصّارة
TID_JAM_MAKER_PRODUCT_DESCRIPTION,تُنتج في آلة صناعة المربى
TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,تُنتج في آلة صناعة المثلجات
TID_JEWELER_PRODUCT_DESCRIPTION,تُصنع لدى الصائغ
TID_APPLE_DESCRIPTION,يُجمع من شجرة التفاح
TID_CHERRY_DESCRIPTION,يُجمع من شجرة الكرز
TID_CACAO_DESCRIPTION,يُجمع من شجرة الكاكاو
TID_RASPBERRY_DESCRIPTION,يُجمع من شجيرات التوت
TID_BLACKBERRY_DESCRIPTION,يُجمع من شجيرات العليق
TID_EGG_DESCRIPTION,يُجمع من الدجاج
TID_MILK_DESCRIPTION,يُجمع من الأبقار
TID_WOOL_DESCRIPTION,يُجمع من الخراف
TID_BACON_DESCRIPTION,يُجمع من الخنازير
TID_GOAT_MILK_DESCRIPTION,يُجمع من الماعز
TID_CASH,عملات
TID_DIAMONDS,ماس
TID_CASH_DESCRIPTION,لشراء البضائع والتحسينات لمزرعتك
TID_DIAMONDS_DESCRIPTION,لزيادة سرعة الإنتاج وشراء البضائع غير الموجودة
TID_FACEBOOK,Facebook
TID_GAME_CENTER,Game Center
TID_FACEBOOK_ID_NOT_MATCH_TITLE,تنبيه <SOCIAL_MEDIA>
TID_FACEBOOK_ID_NOT_MATCH,هل تريد حفظ لعبتك الحالية على حساب <SOCIAL_MEDIA> جديد؟
TID_FACEBOOK_ID_NOT_MATCH_ACTION_1,أجل، غيّر الحساب
TID_FACEBOOK_ID_NOT_MATCH_ACTION_2,لا، احتفظ بالحساب الحالي
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_TITLE,اختر مزرعتك
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM,وجدنا مزرعة أخرى ملحقة بحساب <SOCIAL_MEDIA> هذا:\n(مزرعة <NEW_FARM_NAME>، المستوى <NEW_LEVEL>)\n\nهل تريد تحميلها؟\n\nتحذير: ستفقد (مزرعة <OLD_FARM_NAME>، المستوى <OLD_LEVEL>) الحالية.
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_MOBILE,وجدنا مزرعة أخرى ملحقة بحساب <SOCIAL_MEDIA> هذا:\n(مزرعة <NEW_FARM_NAME>، المستوى <NEW_LEVEL>)\n\nهل تريد تحميلها؟\n\nتحذير: ستفقد (مزرعة <OLD_FARM_NAME>، المستوى <OLD_LEVEL>).
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_1,أجل، حمّل اللعبة
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_2,لا، احتفظ باللعبة الحالية
TID_INTRO_01,كان يوما عاديا كأي يوم آخر...
TID_INTRO_02,حتى وصل الخطاب!
TID_INTRO_03,\qعمك يبلغك تحياته!\q
TID_INTRO_04,\qما رأيك في أن تصبح مزارعا؟\q
TID_INTRO_05,\qلقد قررت أن أتقاعد. ستكون المزرعة ملكا لك إن أردتها!\q
TID_INTRO_06,سنذهب بعيدا! تنتظرنا حياة جديدة في الريف.
TID_ANIMATION_Harvest,يتم الحصاد
TID_ANIMATION_Seeding,يتم نثر البذور
TID_ANIMATION_CropInfo,مضاعفة المحاصيل!
TID_ANIMATION_BuyChicken,شراء 3 دجاجات
TID_ANIMATION_FeedChicken,إطعام الدجاج
TID_ANIMATION_CollectEggs,جمع البيض
TID_ANIMATION_BakeBread,خبز الخُبز
TID_ANIMATION_6th crop,كيف تزرع المزيد من البذور؟
TID_ANIMATION_EditObjects,تنظيم مزرعتك
TID_ANIMATION_Pizzas,كيف تعثر على البيتزا؟
TID_ANIMATION_SendLetter,طريقة إرسال خطاب
TID_DIAMOND_PACK_1,كومة ماس
TID_DIAMOND_PACK_2,حقيبة ماس
TID_DIAMOND_PACK_3,كيس ماس
TID_DIAMOND_PACK_4,علبة ماس
TID_DIAMOND_PACK_5,صندوق ماس
TID_DIAMOND_PACK_6,صندوق ماس كبير
TID_DIAMOND_PACK_2_Birthday_1,باقة عيد الميلاد 1
TID_DIAMOND_PACK_3_Birthday_2,باقة عيد الميلاد 2
TID_DIAMOND_PACK_5_Birthday_3,باقة عيد الميلاد 3
TID_DIAMOND_PACK_2_Special_1,باقة خاصة 1
TID_DIAMOND_PACK_3_Special_2,باقة خاصة 2
TID_DIAMOND_PACK_5_Special_3,باقة خاصة 3
TID_CASH_PACK_1,كومة عملات
TID_CASH_PACK_2,حقيبة عملات
TID_CASH_PACK_3,كيس عملات
TID_CASH_PACK_4,علبة عملات
TID_CASH_PACK_5,صندوق عملات
TID_CASH_PACK_6,صندوق عملات كبير
TID_BUY_DIAMONDS_TITLE,متجر الماسات
TID_BUY_CASH_TITLE,متجر العملات
TID_ORDER_SCREEN_SELECT_ORDER,اختر طلبية من اليسار.
TID_NOTIFICATION_BUILDING_CONSTRUCTION_READY,انتهى إنشاء <NAME>
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK,حيوانات مزرعتك تفتقدك!
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK_MOBILE,حيوانات مزرعتك تفتقدك!
TID_NOTIFICATION_CROPS_READY,كل المحاصيل جاهزة للحصاد!
TID_NOTIFICATION_CHICKEN_READY,البيض جاهز للجمع!
TID_NOTIFICATION_COW_READY,الحليب جاهز للجمع!
TID_NOTIFICATION_SHEEP_READY,الصوف جاهز للجمع!
