TID,NL
TID_TUTORIAL_55a,Tik op de brievenbus om de plaatselijke krant te lezen!
TID_TUTORIAL_56,Hallo! Hulp nodig bij het planten van je nieuwe gewas? Ik kan je wel wat aanwijzingen geven!
TID_TUTORIAL_57,"Hoi! Ik wilde je alleen even vertellen dat je voorwerpen kunt verplaatsen, omdraaien en zelfs weggooien. Tik op een voorwerp en houd dit vast."
TID_TUTORIAL_57_MOBILE,"Hoi! Ik wilde je alleen even vertellen dat je voorwerpen kunt verplaatsen, omdraaien en zelfs weggooien. Tik op een voorwerp en houd dit vast."
TID_TUTORIAL_58a,Wat zijn tegoedbonnen?
TID_TUTORIAL_59,Dit zijn verzamelobjecten die je met het voltooien van bestellingen per boot en op andere plekken krijgt! Hier heb je er alvast eentje...
TID_TUTORIAL_59a,Bedankt!
TID_TUTORIAL_60,Tik op het hok en vul de lege etensbak met heerlijk eten!
TID_TUTORIAL_61,Wacht nu tot je huisdier terugkomt om te slapen.
TID_TUTORIAL_62,Je huisdier is tevreden en ontspannen! Tik erop om je huisdier wakker te maken en punten te verzamelen.
TID_TUTORIAL_63,Kijk eens hoe speels je huisdier is! Vergeet niet om je huisdieren regelmatig te voeren om ze blij en gezond te houden en punten te verzamelen.
TID_TUTORIAL_63_MOBILE,Kijk eens hoe speels je huisdier is! Vergeet niet om je huisdieren regelmatig te voeren om ze blij en gezond te houden en punten te verzamelen.
TID_TUTORIAL_64,Hoi! Heb je hulp nodig met de pizza's?
TID_TUTORIAL_65,Het is tijd om wat munten te sparen. De steiger moet worden gerepareerd.
TID_TUTORIAL_66,Meer ruimte nodig? Geen zorgen! Je kunt nu uitbreiden.
TID_TUTORIAL_67,Misschien is dit een goed moment om de oude mijn te repareren? Wie weet wat voor schatten er te vinden zijn!
TID_TUTORIAL_68,"Gefeliciteerd, de steiger is gerepareerd! Je kunt nu bestellingen per boot vervoeren."
TID_TUTORIAL_69,Dit is het bootklassement. Tik erop om te kijken hoe goed jij en je vrienden het doen.
TID_TUTORIAL_70,"Heb je de nieuwe, glimmende brievenbus al gezien? Oh, volgens mij komt er iemand aan. Hoor je dat gefluit?"
TID_TUTORIAL_71,Joepie! Je hebt je eerste brief ontvangen. Klik op de brievenbus om de brief te lezen.
TID_TUTORIAL_72,Geweldig! Greg heeft je een cadeaubon gestuurd. Verzamel er zoveel mogelijk om een verrassingspakket uit de catalogus te bestellen.
TID_TUTORIAL_72_MOBILE,Geweldig! Greg heeft je een cadeaubon gestuurd. Verzamel er zoveel mogelijk om een verrassingspakket uit de catalogus te bestellen.
TID_TUTORIAL_73,Hoe je zelf meer brieven krijgt? Help andere boeren en boerinnen op hun boerderij en misschien krijg je er eentje terug!
TID_TUTORIAL_74,En met een beeeeeeetje mazzel bevat de brief een cadeaubon. Vergeet niet dat de postbode één keer per dag langskomt.
TID_TUTORIAL_GUEST5,Tik op Gregs foto om naar zijn boerderij te gaan!
TID_TUTORIAL_GUEST6,Tik op Gregs boerderijkraam om te kijken wat hij te koop heeft.
TID_LOADING_SCREEN_CONNECTING,Verbinden...
TID_LOADING_SCREEN_LOADING,Laden...
TID_LOADING_SCREEN_UPDATING,Updaten...
TID_BUTTON_INCREASE_CAPACITY,Opslagruimte vergroten
TID_BUTTON_STORAGE,Terug
TID_STORAGE_UPGRADE_DESCRIPTION,Opslagruimte vergroten naar <CAPACITY>
TID_PLANK_DESCRIPTION,Wordt gebruikt om je schuur te vergroten
TID_NAIL_DESCRIPTION,Wordt gebruikt om je silo te vergroten
TID_BOLT_DESCRIPTION,Wordt gebruikt om je schuur te vergroten
TID_SCREW_DESCRIPTION,Wordt gebruikt om je silo te vergroten
TID_DUCT_TAPE_DESCRIPTION,Wordt gebruikt om je schuur te vergroten
TID_WOOD_PANEL_DESCRIPTION,Wordt gebruikt om je silo te vergroten
TID_DYNAMITE_DESCRIPTION,Wordt gebruikt om een steen te vernietigen
TID_DEMOLITION_CHARGE_DESCRIPTION,Wordt gebruikt om een rotsblok te vernietigen
TID_AXE_DESCRIPTION,Wordt gebruikt om een boompje om te hakken
TID_SAW_DESCRIPTION,Wordt gebruikt om een boom om te zagen
TID_SHOVEL_DESCRIPTION,Wordt gebruikt om een moeras te dempen
TID_DAIRY_PRODUCT_DESCRIPTION,Wordt in de zuivelfabriek gemaakt
TID_BARBECUE_PRODUCT_DESCRIPTION,Wordt op de barbecue bereid
TID_BAKERY_PRODUCT_DESCRIPTION,Wordt in de bakkerij gemaakt
TID_LOOM_PRODUCT_DESCRIPTION,Wordt met het weefgetouw gemaakt
TID_CAKE_OVEN_PRODUCT_DESCRIPTION,Wordt in de taartoven gemaakt
TID_PIE_OVEN_PRODUCT_DESCRIPTION,Wordt in de quicheoven gemaakt
TID_POPCORN_POT_PRODUCT_DESCRIPTION,Wordt in de popcornpan gemaakt
TID_SUGAR_MILL_PRODUCT_DESCRIPTION,Wordt in de suikerfabriek gemaakt
TID_FEED_MILL_PRODUCT_DESCRIPTION,Wordt in de voedermolen gemaakt
TID_JUICE_PRESS_PRODUCT_DESCRIPTION,Wordt met de fruitpers gemaakt
TID_JAM_MAKER_PRODUCT_DESCRIPTION,Wordt met de jammaker gemaakt
TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,Wordt in de ijsmaker gemaakt
TID_JEWELER_PRODUCT_DESCRIPTION,Wordt bij de juwelier gemaakt
TID_APPLE_DESCRIPTION,Pluk je van een appelboom
TID_CHERRY_DESCRIPTION,Pluk je van een kersenboom
TID_CACAO_DESCRIPTION,Pluk je van een cacaoboom
TID_RASPBERRY_DESCRIPTION,Pluk je van een frambozenstruik
TID_BLACKBERRY_DESCRIPTION,Pluk je van een bramenstruik
TID_EGG_DESCRIPTION,Verzamel je van een kip
TID_MILK_DESCRIPTION,Verzamel je van een koe
TID_WOOL_DESCRIPTION,Verzamel je van een schaap
TID_BACON_DESCRIPTION,Verzamel je van een varken
TID_GOAT_MILK_DESCRIPTION,Verzamel je van een geit
TID_CASH,Munten
TID_DIAMONDS,Diamanten
TID_CASH_DESCRIPTION,Koop goederen en uitbreidingen voor je boerderij
TID_DIAMONDS_DESCRIPTION,Versnel je productie en koop ontbrekende goederen.
TID_FACEBOOK,Facebook
TID_GAME_CENTER,Game Center
TID_FACEBOOK_ID_NOT_MATCH_TITLE,<SOCIAL_MEDIA>-waarschuwing
TID_FACEBOOK_ID_NOT_MATCH,Wil je het huidige spel op een nieuw <SOCIAL_MEDIA>-account opslaan?
TID_FACEBOOK_ID_NOT_MATCH_ACTION_1,"Ja, account wijzigen"
TID_FACEBOOK_ID_NOT_MATCH_ACTION_2,"Nee, huidig account behouden"
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_TITLE,Kies je boerderij
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM,"We hebben nog een boerderij gevonden die is gekoppeld aan dit <SOCIAL_MEDIA>-account:\n(boerderij <NEW_FARM_NAME>, level <NEW_LEVEL>)\n\nWil je deze boerderij laden?\n\nWaarschuwing: de huidige boerderij (<OLD_FARM_NAME>, level <OLD_LEVEL>) gaat verloren."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_MOBILE,"We hebben nog een boerderij gevonden die is gekoppeld aan dit <SOCIAL_MEDIA>-account:\n(boerderij <NEW_FARM_NAME>, level <NEW_LEVEL>)\n\nWil je deze boerderij laden?\n\nWaarschuwing: de huidige boerderij (<OLD_FARM_NAME>, level <OLD_LEVEL>) gaat verloren."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_1,"Ja, spel laden"
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_2,"Nee, huidig spel behouden"
TID_INTRO_01,Het begon net als elke andere dag...
TID_INTRO_02,Totdat de brief op de mat viel!
TID_INTRO_03,\qGroetjes van je oom!\q
TID_INTRO_04,\qHoe zou het boerenleven je bevallen?\q
TID_INTRO_05,\qIk heb besloten om met pensioen te gaan. Ik geef de boerderij aan jou!\q
TID_INTRO_06,Daar gaan we dan! Er wacht ons een nieuw leven op het platteland.
TID_ANIMATION_Harvest,Oogsten
TID_ANIMATION_Seeding,Zaaien
TID_ANIMATION_CropInfo,Gewassen vermeerderen zich!
TID_ANIMATION_BuyChicken,3 kippen kopen
TID_ANIMATION_FeedChicken,Kippen voeren
TID_ANIMATION_CollectEggs,Eieren rapen
TID_ANIMATION_BakeBread,Brood bakken
TID_ANIMATION_6th crop,Hoe plant je nog meer zaadjes?
TID_ANIMATION_EditObjects,Je boerderij indelen
TID_ANIMATION_Pizzas,Hoe vind je pizza's?
TID_ANIMATION_SendLetter,Een brief versturen
TID_DIAMOND_PACK_1,Stapel diamanten
TID_DIAMOND_PACK_2,Buidel diamanten
TID_DIAMOND_PACK_3,Zak diamanten
TID_DIAMOND_PACK_4,Doos diamanten
TID_DIAMOND_PACK_5,Kist diamanten
TID_DIAMOND_PACK_6,Koffer diamanten
TID_DIAMOND_PACK_2_Birthday_1,Verjaardagspakket 1
TID_DIAMOND_PACK_3_Birthday_2,Verjaardagspakket 2
TID_DIAMOND_PACK_5_Birthday_3,Verjaardagspakket 3
TID_DIAMOND_PACK_2_Special_1,Speciaal pakket 1
TID_DIAMOND_PACK_3_Special_2,Speciaal pakket 2
TID_DIAMOND_PACK_5_Special_3,Speciaal pakket 3
TID_CASH_PACK_1,Stapel munten
TID_CASH_PACK_2,Buidel munten
TID_CASH_PACK_3,Zak munten
TID_CASH_PACK_4,Doos munten
TID_CASH_PACK_5,Kist munten
TID_CASH_PACK_6,Koffer munten
TID_BUY_DIAMONDS_TITLE,Diamantenwinkel
TID_BUY_CASH_TITLE,Muntenwinkel
TID_ORDER_SCREEN_SELECT_ORDER,Kies een bestelling aan de linkerkant.
TID_NOTIFICATION_BUILDING_CONSTRUCTION_READY,De bouw van <NAME> is voltooid
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK,De boerderijdieren missen je!
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK_MOBILE,De boerderijdieren missen je!
TID_NOTIFICATION_CROPS_READY,Alle gewassen kunnen worden geoogst!
TID_NOTIFICATION_CHICKEN_READY,De eieren kunnen worden verzameld!
TID_NOTIFICATION_COW_READY,De melk kan worden opgehaald!
TID_NOTIFICATION_SHEEP_READY,De wol kan worden opgehaald!
TID_NOTIFICATION_PIG_READY,Het spek kan worden opgehaald!
TID_NOTIFICATION_GOAT_READY,Je kunt de geitenmelk ophalen!
TID_NOTIFICATION_ORDER_READY,Je kunt een bestelling uitvoeren!
TID_NOTIFICATION_DAILY_GIFT,"Hoi boer, je dagelijkse gratis cadeau staat op je te wachten!"
TID_NATIVE_DIALOG_CONNECTION_LOST_TITLE,Verbinding verbroken
TID_NATIVE_DIALOG_CONNECTION_LOST_MESSAGE,De verbinding met de server is verbroken. Controleer je internetverbinding en probeer het opnieuw.
TID_NATIVE_DIALOG_CONNECTION_LOST_BUTTON,Probeer het opnieuw
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_TITLE,Verbinding verbroken
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_MESSAGE,De server reageert niet. Controleer je internetverbinding en probeer het opnieuw.
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_BUTTON,Probeer het opnieuw
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_TITLE,Verbinding verbroken
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_MESSAGE,De transactieserver reageert niet. Probeer het later opnieuw.
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_BUTTON,Oké
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_TITLE,Update vereist
