TID,TR
TID_SWEATER,Kazak
TID_BLUE_WOOLLY_HAT,Mavi Yün Bere
TID_BLUE_SWEATER,Mavi Kazak
TID_POPCORN,Patlamış Mısır
TID_BUTTER_POPCORN,Tereyağlı Mısır
TID_CHILI_POPCORN,Biberli Mısır
TID_BACON_AND_EGGS,Pastırmalı Omlet
TID_PANCAKE,Pankek
TID_HAMBURGER,Hamburger
TID_PIZZA,Pizza
TID_SPICY_PIZZA,Baharatlı Pizza
TID_ROASTED_TOMATOES,Kızarmış Domates
TID_CARROT_JUICE,Havuç Suyu
TID_TOMATO_JUICE,Domates Suyu
TID_APPLE_JUICE,Elma Suyu
TID_CHERRY_JUICE,Vişne Suyu
TID_BERRY_JUICE,Ahududu Suyu
TID_APPLE,Elma
TID_CHERRY,Vişne
TID_CACAO,Kakao
TID_RASPBERRY,Ahududu
TID_BLACKBERRY,Böğürtlen
TID_APPLE_JAM,Elma Reçeli
TID_RASPBERRY_JAM,Ahududu Reçeli
TID_BLUEBERRY_JAM,Böğürtlen Reçeli
TID_CHERRY_JAM,Vişne Reçeli
TID_VANILLA_ICE_CREAM,Vanilyalı Dondurma
TID_CHERRY_POPSICLE,Vişneli Çubuk Dondurma
TID_CHOCOLATE_ICE_CREAM,Çikolatalı Dondurma
TID_APPLE_PIE,Elmalı Turta
TID_FETA_PIE,Peynirli Turta
TID_BRACELET,Bilezik
TID_NECKLACE,Kolye
TID_DIAMOND_RING,Elmas Yüzük
TID_FEED_MILL,Yem Değirmeni
TID_BAKERY,Fırın
TID_POPCORN_POT,Patlamış Mısır Kabı
TID_DAIRY,Mandıra
TID_SUGAR_MILL,Şeker Fabrikası
TID_PIE_OVEN,Turta Fırını
TID_LOOM,Dokuma Tezgahı
TID_CAKE_OVEN,Kek Fırını
TID_BARBECUE_GRILL,Barbekü
TID_JUICE_PRESS,Meyve Suyu Sıkacağı
TID_JAM_MAKER,Reçel Makinesi
TID_ICE_CREAM_MAKER,Dondurma Makinesi
TID_JEWELER,Kuyumcu
TID_APPLE_TREE,Elma Ağacı
TID_CHERRY_TREE,Vişne Ağacı
TID_CACAO_TREE,Kakao Ağacı
TID_RASPBERRY_BUSH,Ahududu Çalısı
TID_BLACKBERRY_BUSH,Böğürtlen Çalısı
TID_DYNAMITE,Dinamit
TID_DEMOLITION_CHARGE,TNT Varili
TID_AXE,Balta
TID_SAW,Testere
TID_SHOVEL,Kürek
TID_PLANK,Kalas
TID_NAIL,Çivi
TID_BOLT,Cıvata
TID_SCREW,Vida
TID_DUCT_TAPE,Bant
TID_WOOD_PANEL,Ahşap Levha
TID_EMPTY_FIELD,Tarla
TID_CHICKEN,Tavuk
TID_COW,İnek
TID_SHEEP,Koyun
TID_PIG,Domuz
TID_GOAT,Keçi
TID_CHICKEN_HABITAT,Tavuk Kümesi
TID_COW_HABITAT,İnek Otlağı
TID_SHEEP_HABITAT,Koyun Otlağı
TID_PIG_HABITAT,Domuz Ağılı
TID_GOAT_HABITAT,Keçi Avlusu
TID_HAMMERMILL_DESCRIPTION,Hayvan Yemi üretir
TID_BAKERY_DESCRIPTION,Fırın ürünleri pişirir
TID_POPCORN_POT_DESCRIPTION,Patlamış Mısır üretir
TID_DAIRY_DESCRIPTION,Süt Ürünleri üretir
TID_SUGAR_MILL_DESCRIPTION,Şeker Ürünleri üretir
TID_PIE_OVEN_DESCRIPTION,Turta pişirir
TID_LOOM_DESCRIPTION,Kıyafet dokur
TID_BARBECUE_GRILL_DESCRIPTION,Izgara yiyecekler üretir
TID_CAKE_OVEN_DESCRIPTION,Kek pişirir
TID_JUICE_PRESS_DESCRIPTION,Meyve suyu sıkar
TID_JAM_MAKER_DESCRIPTION,Reçel Yapar
TID_ICE_CREAM_MAKER_DESCRIPTION,Dondurma Yapar
TID_JEWELER_DESCRIPTION,Mücevher Yapar
TID_APPLE_TREE_DESCRIPTION,Üç defa topla
TID_CHERRY_TREE_DESCRIPTION,Üç defa topla
TID_CACAO_TREE_DESCRIPTION,Üç defa topla
TID_RASPBERRY_BUSH_DESCRIPTION,Üç defa topla
TID_BLACKBERRY_BUSH_DESCRIPTION,Üç defa topla
TID_NEED_MORE_POPUP_TITLE,Yeterli kaynak yok!
TID_NEED_MORE_RESOURCES_CANT_BUY_TEXT,Siparişi tamamlamak için eksik kaynakları satın al.
TID_NEED_MORE_POPUP_GENERIC_TEXT,Elmas kullanarak eksik kaynakları alıp işlemi tamamlayabilirsin.
TID_NEED_MORE_CROPS_HINT,Eksik ekinleri bir arkadaşından satın alabilirsin.\n\nYa da elmas karşılığı hemen satın alabilirsin!
TID_NEED_MORE_CROPS_HINT_MOBILE,Eksik ekinleri bir arkadaşından satın alabilirsin.\n\nYa da elmas karşılığı hemen satın alabilirsin!
TID_NEED_MORE_ANIMAL_FOOD_HINT,Yem Değirmeni ile hayvanların için daha fazla yiyecek hazırla. Ya da onları şimdi elmas kullanarak besle.
TID_SILO_FULL_TITLE,Ambar Dolu
TID_SILO_FULL_DESCRIPTION,Bu ambar dolu! Ambarını yükselterek daha çok yer kazan.
TID_WAREHOUSE_FULL_TITLE,Ağıl Dolu
TID_WAREHOUSE_FULL_DESCRIPTION,Bu ağıl dolu! Ağılını yükselterek daha çok yer kazan.
TID_WAREHOUSE_FULL_DESCRIPTION_MOBILE,Bu ağıl dolu! Ağılını yükselterek daha çok yer kazan.
TID_LEVEL_UP_TITLE,TEBRİKLER!
TID_LEVEL_UP_TEXT,Artık <LEVEL_NUMBER>. SEVİYE BİR ÇİFTÇİSİN!
TID_LEVEL_UP_ITEM_NEW,Yeni!
TID_LEVEL_UP_ITEM_NEW_AND_REWARD,Yeni! +<REWARD>
TID_ORDER_TABLE_TITLE,Siparişler
TID_ORDER_TITLE_00,Kreş
TID_ORDER_TITLE_01,Okul
TID_ORDER_TITLE_02,Kilise
TID_ORDER_TITLE_03,Joan'ın Salonu
TID_ORDER_TITLE_04,Susan'ın Dükkanı
TID_ORDER_TITLE_05,Mike'ın Değirmeni
TID_ORDER_TITLE_06,Ben'in Bira Fabrikası
TID_ORDER_TITLE_07,Fabio'nun Balıkçısı
TID_ORDER_TITLE_08,Frank'ın Fabrikası
TID_ORDER_TITLE_09,Greg'in Mezarlığı
TID_ORDER_TABLE_WAITING,Lütfen Bekle...
TID_ORDER_TABLE_WAITING_TEXT,Bu sipariş şu an kullanılamaz. Bekle ya da hızlandır!
TID_SOCIAL_LOGIN_TITLE,Daha Çok Çiftçi Bul!
TID_SOCIAL_LOGIN_1_TEXT,<SOCIAL_1> ile oturum aç ve arkadaşlarınla ticaret yapmaya başla!
TID_SOCIAL_LOGIN_2_TEXT,<SOCIAL_1> veya <SOCIAL_2> ile oturum aç ve arkadaşlarınla ticaret yapmaya başla!
TID_ROADSIDE_SHOP_TITLE,Cadde Üzeri Dükkan
TID_ROADSIDE_SHOP_FRIEND_TITLE,<NAME> Cadde Üzeri Dükkanı
TID_ROADSIDE_SHOP_ITEM_COUNT,X<COUNT>
TID_ROADSIDE_SHOP_ITEM_SOLD,SATILDI!
TID_ROADSIDE_SHOP_CREATE_NEW_SALE,Yeni Satış Oluştur
TID_ROADSIDE_SHOP_NEW_SALE_TITLE,Yeni Satış
TID_ROADSIDE_SHOP_NEW_SALE_ADJUST_PRICE,Fiyatı Ayarla
TID_ROADSIDE_SHOP_NEW_SALE_CONFIRM_BUTTON,Satışa çıkar
TID_ROADSIDE_SHOP_ADVERTISE,Reklam ver
TID_ROADSIDE_SHOP_ADVERTISE_WITH_TIME,Şimdi reklam ver
TID_SHOP_TITLE,Dükkan
TID_TUTORIAL_01,"Selam! Ben Bay Wicker, yeni tarlandaki işlerde sana yardım edeceğim."
TID_TUTORIAL_02a,Bir buğday tarlasına dokun ve eline bir orak al. Sonra buğday boyunca sürükleyerek ekinleri hasat et.
TID_TUTORIAL_03a,Boş bir tarlaya dokun. Sonra tohumları ekmek üzere buğdayı tarla üzerinde sürükle.
TID_TUTORIAL_04,Tohumların büyümek için zamana ihtiyacı vardır. Hasat edildiğinde her bir tarla iki ekin üretir.
TID_TUTORIAL_05a,Evine dokun ve fırçayı evin üzerinde gezdirerek evi boya.
TID_TUTORIAL_06a,Harika! Ağılda da biraz renk kullanılabilir...
TID_TUTORIAL_07a,Ambarı da boyamalısın!
TID_TUTORIAL_10,Harika! Şimdi birkaç fiyakalı arkadaşını partiye çağır!
TID_TUTORIAL_10a,Bir tavuğu dükkandan tavuk kümesine sürükle.
TID_TUTORIAL_11a,Şimdi bir tavuk daha satın alalım!
TID_TUTORIAL_12a,Üçüncü tavuğu satın almaya ne dersin?
TID_TUTORIAL_13a,Bir tavuğa dokun ve beslemek için yem çuvalını tavukların üzerinde sürükle.
TID_TUTORIAL_14a,Bir tavuğa dokun ve sonra hızlandırma düğmesine dokun!
TID_TUTORIAL_14b,"Bir tavuğa dokun, sonra hızlandırma düğmesine iki kez dokun!"
TID_TUTORIAL_14c,Bir tavuğa dokun ve sonra hızlandırma düğmesine basılı tut!
TID_TUTORIAL_15a,Cillop gibi! İkinci tavuğu da hızlandır.
TID_TUTORIAL_16a,Müthiş! Şimdi son tavuğu hızlandır.
TID_TUTORIAL_17a,Yumurtaları toplamak için sepeti tavukların üzerinde sürükle.
TID_TUTORIAL_20,Güzel! Peki tüm bu buğdayı yeni bir fırınla ekmeğe dönüştürmeye ne dersin?
TID_TUTORIAL_20a,Sol alt köşedeki düğmeye dokunarak dükkan menüsünü aç. Bir fırını çiftliğine sürükleyerek satın alabilirsin.
TID_TUTORIAL_20a_MOBILE,Sol alt köşedeki düğmeye dokunarak dükkan menüsünü aç. Bir fırını çiftliğine sürükleyerek satın alabilirsin.
TID_TUTORIAL_21a,İnşaatın bitmesini bekle ya da elmas karşılığı hızlandır.
TID_TUTORIAL_22a,Fırına dokun ve ekmeği ocağa sürükle.
TID_TUTORIAL_23a,Ekmeğin hemen altındaki Hızlandır düğmesine dokunarak pişirme işlemini anında bitir. Mis gibi kokuyor!
TID_TUTORIAL_24,Seviyen yükseldikçe yeni geliştirmeler açılacak. Şu anda dükkanda seni bekleyen üç yeni tarla parçası var!
TID_TUTORIAL_24a,Dükkan menüsünü aç ve üç yeni tarla parçasını çiftliğine sürükle.
TID_TUTORIAL_25a,Şimdi daha fazla tohum ek. Nasıl olduğunu unuttun mu? (Tarlaya dokun!)
TID_TUTORIAL_26,Hayvanlar mutluysa çiftlik de mutlu olur. Bir yem değirmeni inşa ederek hayvanlarının asla aç kalmamasını sağla!
TID_TUTORIAL_26a,Dükkandan çiftliğine sürükleyerek bir yem değirmeni satın al.
TID_TUTORIAL_27,"İşler büyüyor! Tarlaları hasat etmeyi, ekmek pişirmeyi ve yumurta üretmeyi sürdür."
TID_TUTORIAL_27a,Hızlandır düğmesine basarak ekinleri hızlandırabileceğini unutma.
TID_TUTORIAL_28,"Düt düt, teslimat kamyonu geldi! Sürüyle siparişe hazır ol!"
TID_TUTORIAL_29,Sipariş panosu hangi siparişlerin olduğunu gösterir. Bunları yerine ulaştırarak para ve tecrübe kazan.
TID_TUTORIAL_29a,İlk teslimatını yapmak için kamyona veya sipariş panosuna dokun.
TID_TUTORIAL_30,İşte böyle! Teslimat kamyonu kreşe doğru yola koyuldu.
TID_TUTORIAL_30a,Bu kasaba ahalisi çiftlik tazeliğinde ürünlerimize doymak bilmiyor! Şimdi başka bir siparişi tamamla.
TID_TUTORIAL_31,"Bu işi gerçekten kavrıyorsun! Şimdilik, çiftçiliğe ve siparişleri tamamlamaya devam et."
TID_TUTORIAL_31a,Çiftçiliğe ve siparişleri tamamlamaya devam et!
TID_TUTORIAL_36,Möööö! Buralarda bir ineğimiz olmayalı hayli zaman oldu!
TID_TUTORIAL_36a,Dükkandan çiftliğine sürükleyerek bir inek otlağı satın al.
TID_TUTORIAL_37a,Şimdi otlağa bir inek sürükle.
TID_TUTORIAL_38a,"Aç kalmış, onu besleyelim!"
TID_TUTORIAL_39,"İneği iyi beslersen, o da sana besleyici süt verir."
TID_TUTORIAL_40,"Yeterli paran olduğunda dükkandan bir mandıra satın al. Mandırada sütü krema, tereyağı ve hatta peynir haline getirebilirsin!"
TID_TUTORIAL_42,"Selam! Ben Mike, kasabanın yakınlarındaki eski değirmeni işletiyorum. Çiftliğin güzelmiş, ona hoş bir isim vermeye ne dersin? Unutma, gerçek ismini kullanmaman daha iyi olabilir."
TID_TUTORIAL_45,"Mekana özen gösteren birisini görmek güzel bir duygu. Hımm, görüşürüz!"
TID_TUTORIAL_46,"Enfes kokular buradan mı geliyor? Ah, kusura bakma kendimi tanıtmayı unuttum. Adım Joan."
TID_TUTORIAL_GUEST1,Bir ziyaretçimiz var! Ne söyleyeceğini görmek için ona dokun!
TID_TUTORIAL_GUEST2,Başka bir ziyaretçi! Aklından ne geçtiğini ona sormak en iyisi.
TID_TUTORIAL_47a,Önce dokunarak örtüyü kaldıralım.
TID_TUTORIAL_48a,"Teslimat kamyonunun ödülünle birlikte geri gelmesini bekle, gelince de ödülünü almak için dokun!"
TID_TUTORIAL_47,"Bak, kreşteki çocuklar sana bir teşekkür notu göndermiş!"
TID_TUTORIAL_GUEST3,Bu koca adam da kim?
TID_TUTORIAL_48,"Merhaba! Adım Greg, komşuyuz. Alet ihtiyacın olursa mekanıma gel, ne lazımsa ayarlarım!"
TID_TUTORIAL_49,Biraz toprak temizlemek için aletleri kullanabiliriz. Şimdi Greg'in çiftliğini ziyaret et!
TID_TUTORIAL_GUEST4,Arkadaş düğmesine dokun!
TID_TUTORIAL_50,Çiftliğime hoş geldin! Cadde Üzeri Dükkanımda neler sattığıma mutlaka göz atmalısın!
TID_TUTORIAL_51,"Ziyaretin için teşekkürler! Unutma, beni ya da arkadaşlarını istediğin zaman ziyaret edebilirsin!"
TID_TUTORIAL_52,"Vay be, Greg gerçekten çok yardımseverdi. Arkadaş Çubuğundan komşu olarak daha fazla arkadaş ekleyebilirsin."
TID_TUTORIAL_53,İşte Cadde Üzeri Dükkanın. Diğer oyuncuların satın alması için oraya satılık ürünler koyabilirsin.
TID_TUTORIAL_54,"Satmak istediğin ürün miktarına karar verebilir, fiyatı belirleyebilir ve hatta yerel gazetede reklam verebilirsin! Şimdi dene!"
TID_TUTORIAL_54a,Cadde Üzeri Dükkanını gözden geçir!
TID_TUTORIAL_55,"Gazeteyi posta kutusunda bulabilirsin. Oraya bakarak, diğer insanların neler sattığını görebilirsin."
TID_TUTORIAL_55a,Yerel gazeteyi okumak için posta kutusuna dokun!
TID_TUTORIAL_56,Selam! Sahip olduğun yeni ekini ekmek için yardıma mı ihtiyacın var? Sana bazı önerilerde bulunabilirim!
TID_TUTORIAL_57,"Merhaba! Sana sadece şunu söylemek isterim ki, nesneleri taşıyabilir, döndürebilir ve hatta atabilirsin. Öncelikle, bir nesneye dokun ve onu tut."
TID_TUTORIAL_57_MOBILE,"Merhaba! Sana sadece şunu söylemek isterim ki, nesneleri taşıyabilir, döndürebilir ve hatta atabilirsin. Öncelikle, bir nesneye dokun ve onu tut."
TID_TUTORIAL_58a,Hediye Çekleri nedir?
TID_TUTORIAL_59,Onlar tekne siparişlerini tamamlayarak veya diğer yerlerden alabileceğin toplanabilir öğelerdir! Bir tanesi benden sana hediye...
TID_TUTORIAL_59a,Teşekkürler
TID_TUTORIAL_60,Eve dokun ve boş kabı lezzetli bir yemekle doldur!
TID_TUTORIAL_61,Evcil hayvanın uyuyana kadar bekle.
TID_TUTORIAL_62,Evcil hayvanın çok mutlu! Uyandırıp puanları toplamak için hayvanına dokun.
TID_TUTORIAL_63,Bak evcil hayvanın nasıl da oyun istiyor! Evcil hayvanını sürekli besleyerek mutlu et ve uykusundan sonra puanları toplamayı unutma.
TID_TUTORIAL_63_MOBILE,Bak evcil hayvanın nasıl da oyun istiyor! Evcil hayvanını sürekli besleyerek mutlu et ve uykusundan sonra puanları toplamayı unutma.
TID_TUTORIAL_64,Selam! Pizzalar konusunda yardım ister misin?
TID_TUTORIAL_65,Altın biriktirmeye başlamanın zamanı geldi. İskelelerin tamir edilmesi gerekiyor.
TID_TUTORIAL_66,Daha fazla yere mi ihtiyacın var? Endişelenme! Genişletmeye şimdi başlayabilirsin.
TID_TUTORIAL_67,Belki de eski madeni tamir etmenin zamanı gelmiştir. Kim bilir içinde ne hazineler gizli.
TID_TUTORIAL_68,"Tebrikler, iskeleler tamir edildi! Artık tekne siparişlerini tamamlayabilirsin."
TID_TUTORIAL_69,"Bu, tekne liderlik tablosu. Kendinin ve arkadaşlarının durumunu görmek için dokun."
TID_TUTORIAL_70,Yepyeni posta kutunu gördün mü? Sanırım biri geliyor. Islığı duyuyor musun?
TID_TUTORIAL_71,Yaşasın! İlk mektubunu aldın. Posta kutusuna tıklayarak mektubunu aç.
TID_TUTORIAL_72,"Harika! Greg sana bir hediye çeki yollamış. Yeterince çek toplarsan, katalogdan bir gizemli paket siparişi verebilirsin."
TID_TUTORIAL_72_MOBILE,"Harika! Greg sana bir hediye çeki yollamış. Yeterince çek toplarsan, katalogdan bir gizemli paket siparişi verebilirsin."
TID_TUTORIAL_73,Nasıl daha fazla mektup alabilirsin? Diğer çiftçilere yardım edersen sana da bir mektup gönderebilirler!
TID_TUTORIAL_74,Biraz da şansın varsa içinden hediye kartı çıkabilir. Unutma: Postacı her gün bir defa sana gelecek.
TID_TUTORIAL_GUEST5,Greg'in çiftliğini ziyaret etmek için onun resmine dokun!
TID_TUTORIAL_GUEST6,Neler sattığını görmek için Greg'in Cadde Üzeri Dükkanına dokun!
TID_LOADING_SCREEN_CONNECTING,Bağlanıyor
TID_LOADING_SCREEN_LOADING,Yükleniyor
TID_LOADING_SCREEN_UPDATING,Güncelleniyor
TID_BUTTON_INCREASE_CAPACITY,Depolamayı Artır
TID_BUTTON_STORAGE,Geri
TID_STORAGE_UPGRADE_DESCRIPTION,Depolama kapasitesini şuna yükselt: <CAPACITY>
TID_PLANK_DESCRIPTION,Ağılını yükseltmek için kullan
TID_NAIL_DESCRIPTION,Ambarını yükseltmek için kullan
TID_BOLT_DESCRIPTION,Ağılını yükseltmek için kullan
TID_SCREW_DESCRIPTION,Ambarını yükseltmek için kullan
TID_DUCT_TAPE_DESCRIPTION,Ağılını yükseltmek için kullan
TID_WOOD_PANEL_DESCRIPTION,Ambarını yükseltmek için kullan
TID_DYNAMITE_DESCRIPTION,Küçük bir kayayı parçalamak için kullan
TID_DEMOLITION_CHARGE_DESCRIPTION,Büyük bir kayayı parçalamak için kullan
TID_AXE_DESCRIPTION,Küçük bir ağacı kesmek için kullan
TID_SAW_DESCRIPTION,Büyük bir ağacı kesmek için kullan
TID_SHOVEL_DESCRIPTION,Bir bataklığı kaldırmak için kullan
TID_DAIRY_PRODUCT_DESCRIPTION,Mandırada üret
TID_BARBECUE_PRODUCT_DESCRIPTION,Barbeküde üret
TID_BAKERY_PRODUCT_DESCRIPTION,Fırında üret
TID_LOOM_PRODUCT_DESCRIPTION,Dokuma Tezgahında üret
TID_CAKE_OVEN_PRODUCT_DESCRIPTION,Kek Fırınında üret
TID_PIE_OVEN_PRODUCT_DESCRIPTION,Turta Fırınında üret
TID_POPCORN_POT_PRODUCT_DESCRIPTION,Patlamış Mısır Kabında üret
TID_SUGAR_MILL_PRODUCT_DESCRIPTION,Şeker Fabrikasında üret
TID_FEED_MILL_PRODUCT_DESCRIPTION,Yem Değirmeninde üret
TID_JUICE_PRESS_PRODUCT_DESCRIPTION,Meyve Suyu Sıkacağında üret
TID_JAM_MAKER_PRODUCT_DESCRIPTION,Reçel Makinesinde üret
TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,Dondurma Makinesinde üret
TID_JEWELER_PRODUCT_DESCRIPTION,Kuyumcuda üret
TID_APPLE_DESCRIPTION,Elma ağacından topla
TID_CHERRY_DESCRIPTION,Vişne ağacından topla
TID_CACAO_DESCRIPTION,Kakao ağacından topla
TID_RASPBERRY_DESCRIPTION,Ahududu Çalısından topla
TID_BLACKBERRY_DESCRIPTION,Böğürtlen Çalısından topla
TID_EGG_DESCRIPTION,Tavuklardan Topla
TID_MILK_DESCRIPTION,İneklerden Topla
TID_WOOL_DESCRIPTION,Koyunlardan Topla
TID_BACON_DESCRIPTION,Domuzlardan Topla
TID_GOAT_MILK_DESCRIPTION,Keçiden Al
TID_CASH,Altın
TID_DIAMONDS,Elmaslar
TID_CASH_DESCRIPTION,Çiftliğine ürün ve geliştirme satın al
TID_DIAMONDS_DESCRIPTION,Üretimi artır ve eksik ürünleri satın al
TID_FACEBOOK,Facebook
TID_GAME_CENTER,Game Center
TID_FACEBOOK_ID_NOT_MATCH_TITLE,<SOCIAL_MEDIA> Uyarısı
TID_FACEBOOK_ID_NOT_MATCH,Geçerli oyununu yeni bir <SOCIAL_MEDIA> hesabına kaydetmek istiyor musun?
TID_FACEBOOK_ID_NOT_MATCH_ACTION_1,"Evet, hesabı değiştir"
TID_FACEBOOK_ID_NOT_MATCH_ACTION_2,"Hayır, geçerli hesap kalsın"
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_TITLE,Çiftliğini seç
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM,Bu <SOCIAL_MEDIA> hesabına bağlı başka bir çiftlik bulduk:\n(<NEW_LEVEL>. Seviye <NEW_FARM_NAME> Çiftliği)\n\nBunu yüklemek istiyor musun?\n\nUyarı: Mevcut (<OLD_LEVEL>. Seviye <OLD_FARM_NAME> Çiftliği) silinecek.
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_MOBILE,Bu <SOCIAL_MEDIA> hesabına bağlı başka bir çiftlik bulduk:\n(<NEW_LEVEL>. Seviye <NEW_FARM_NAME> Çiftliği)\n\nBunu yüklemek istiyor musun?\n\nUyarı: Mevcut (<OLD_LEVEL>. Seviye <OLD_FARM_NAME> Çiftliği) silinecek.
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_1,"Evet, oyunu yükle"
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_2,"Hayır, geçerli oyun kalsın"
TID_INTRO_01,Başlangıçta diğer günlerden hiçbir farkı yoktu...
TID_INTRO_02,Ta ki mektubu alana dek!
TID_INTRO_03,\qAmcandan selamlar!\q
TID_INTRO_04,"\qPekala, çiftçi olmaya ne dersin?\q"
TID_INTRO_05,"\qEmekli olmaya karar verdim. Eğer istersen, çiftlik senindir!\q"
TID_INTRO_06,Yolumuz uzun! Yeni bir kır yaşamı bizi bekliyor.
TID_ANIMATION_Harvest,Hasat Etme
TID_ANIMATION_Seeding,Tohum Ekme
TID_ANIMATION_CropInfo,Ekinler Çoğaltılabilir!
TID_ANIMATION_BuyChicken,3 Tavuk Satın Al
TID_ANIMATION_FeedChicken,Tavukları Besle
TID_ANIMATION_CollectEggs,Yumurtaları Topla
TID_ANIMATION_BakeBread,Ekmek Pişir
TID_ANIMATION_6th crop,Daha Fazla Tohum Nasıl Ekilir?
TID_ANIMATION_EditObjects,Çiftliğini Düzenle
TID_ANIMATION_Pizzas,Pizzaları nasıl bulurum?
TID_ANIMATION_SendLetter,Nasıl mektup gönderilir
TID_DIAMOND_PACK_1,Elmas Yığını
TID_DIAMOND_PACK_2,Elmas Kesesi
TID_DIAMOND_PACK_3,Elmas Çuvalı
TID_DIAMOND_PACK_4,Elmas Kutusu
TID_DIAMOND_PACK_5,Elmas Sandığı
TID_DIAMOND_PACK_6,Elmas Deposu
TID_DIAMOND_PACK_2_Birthday_1,Doğum Günü Paketi 1
TID_DIAMOND_PACK_3_Birthday_2,Doğum Günü Paketi 2
TID_DIAMOND_PACK_5_Birthday_3,Doğum Günü Paketi 3
TID_DIAMOND_PACK_2_Special_1,Özel Paket 1
TID_DIAMOND_PACK_3_Special_2,Özel Paket 2
TID_DIAMOND_PACK_5_Special_3,Özel Paket 3
TID_CASH_PACK_1,Altın Yığını
TID_CASH_PACK_2,Altın Kesesi
TID_CASH_PACK_3,Altın Çuvalı
TID_CASH_PACK_4,Altın Kutusu
TID_CASH_PACK_5,Altın Sandığı
TID_CASH_PACK_6,Altın Deposu
TID_BUY_DIAMONDS_TITLE,Elmas Dükkanı
TID_BUY_CASH_TITLE,Altın Dükkanı
TID_ORDER_SCREEN_SELECT_ORDER,Sol taraftan bir sipariş seç.
TID_NOTIFICATION_BUILDING_CONSTRUCTION_READY,<NAME> inşaatı bitti
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK,Çiftliğindeki hayvanlar seni özlüyor!
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK_MOBILE,Çiftliğindeki hayvanlar seni özlüyor!
TID_NOTIFICATION_CROPS_READY,Tüm ekinler hasada hazır!
TID_NOTIFICATION_CHICKEN_READY,Yumurtalar toplanmaya hazır!
TID_NOTIFICATION_COW_READY,Süt toplanmaya hazır!
