TID,VI
TID_ORDER_TITLE_00,Nhà trẻ
TID_ORDER_TITLE_01,Trường học
TID_ORDER_TITLE_02,Nhà thờ
TID_ORDER_TITLE_03,Thẩm mỹ viện của Joan
TID_ORDER_TITLE_04,Cửa hàng của Susan
TID_ORDER_TITLE_05,Nhà máy của Mike
TID_ORDER_TITLE_06,Nhà máy bia của Ben
TID_ORDER_TITLE_07,Cửa hàng cá của Fabio
TID_ORDER_TITLE_08,Nhà máy của Frank
TID_ORDER_TITLE_09,Nghĩa địa của Grant
TID_ORDER_TABLE_WAITING,Vui lòng chờ...
TID_ORDER_TABLE_WAITING_TEXT,Đơn hàng này không khả dụng. Hãy chờ hoặc tăng tốc!
TID_SOCIAL_LOGIN_TITLE,Tìm thêm nông dân!
TID_SOCIAL_LOGIN_1_TEXT,Đăng nhập vào <SOCIAL_1> và bắt đầu buôn bán với bạn bè!
TID_SOCIAL_LOGIN_2_TEXT,Đăng nhập vào <SOCIAL_1> hoặc <SOCIAL_2> và bắt đầu buôn bán với bạn bè!
TID_ROADSIDE_SHOP_TITLE,Cửa hàng bên đường
TID_ROADSIDE_SHOP_FRIEND_TITLE,Cửa hàng bên đường của <NAME>
TID_ROADSIDE_SHOP_ITEM_COUNT,<COUNT>x
TID_ROADSIDE_SHOP_ITEM_SOLD,ĐÃ BÁN!
TID_ROADSIDE_SHOP_CREATE_NEW_SALE,Tạo mặt hàng mới
TID_ROADSIDE_SHOP_NEW_SALE_TITLE,Mặt hàng mới
TID_ROADSIDE_SHOP_NEW_SALE_ADJUST_PRICE,Điều chỉnh giá bán
TID_ROADSIDE_SHOP_NEW_SALE_CONFIRM_BUTTON,Đưa ra bán
TID_ROADSIDE_SHOP_ADVERTISE,Quảng cáo
TID_ROADSIDE_SHOP_ADVERTISE_WITH_TIME,Quảng cáo ngay
TID_SHOP_TITLE,Cửa hàng
TID_TUTORIAL_01,Xin chào! Tôi là Wicker và tôi sẽ giúp bạn bắt đầu xây dựng trang trại mới!
TID_TUTORIAL_02a,"Nhấn vào cánh đồng lúa mỳ và chọn cái liềm. Sau đó, thu hoạch bằng cách lia liềm qua cây lúa mỳ."
TID_TUTORIAL_03a,Nhấn vào mảnh ruộng trống. Sau đó kéo lúa mỳ qua các mảnh ruộng để gieo hạt.
TID_TUTORIAL_04,"Hạt giống cần thời gian để phát triển. Khi thu hoạch, mỗi mảnh ruộng sẽ thu được hai đơn vị sản phẩm."
TID_TUTORIAL_05a,Nhấn vào nhà của bạn và sơn nhà bằng cách kéo cây cọ qua nhà.
TID_TUTORIAL_06a,Rất gọn gàng! Kho vật phẩm cũng cần thêm chút màu sắc...
TID_TUTORIAL_07a,Bạn cũng nên sơn cả tháp nông sản nữa!
TID_TUTORIAL_10,"Tuyệt vời! Bây giờ, hãy mời thêm vài người bạn có lông đến bữa tiệc nào!"
TID_TUTORIAL_10a,Kéo một con gà từ Cửa hàng vào chuồng gà.
TID_TUTORIAL_11a,Hãy mua thêm một con gà nữa!
TID_TUTORIAL_12a,Mua thêm con gà thứ ba luôn nhé?
TID_TUTORIAL_13a,Nhấn vào một chú gà và kéo túi thức ăn lên đàn gà để cho gà ăn.
TID_TUTORIAL_14a,Nhấn vào một chú gà và nhấn nút tăng tốc!
TID_TUTORIAL_14b,Hãy nhấn vào một con gà rồi nhấn nút tăng tốc hai lần!
TID_TUTORIAL_14c,Nhấn vào một con gà và giữ nút tăng tốc!
TID_TUTORIAL_15a,Tuyệt vời! Hãy tăng tốc cho chú gà thứ hai nữa.
TID_TUTORIAL_16a,"Xuất sắc! Bây giờ, hãy tăng tốc cho chú gà cuối cùng."
TID_TUTORIAL_17a,Kéo giỏ trứng qua toàn bộ đàn gà để thu thập trứng.
TID_TUTORIAL_20,Tốt lắm! Bạn nghĩ sao về việc sử dụng lò bánh mỳ mới để biến lúa mỳ thành bánh mỳ?
TID_TUTORIAL_20a,Mở menu Cửa hàng bằng cách nhấn vào nút ở góc trái bên dưới màn hình. Mua Lò bánh mỳ bằng cách kéo và đặt lên đất của bạn.
TID_TUTORIAL_20a_MOBILE,Mở menu Cửa hàng bằng cách nhấn vào nút ở góc trái bên dưới màn hình. Mua Lò bánh mỳ bằng cách kéo và đặt lên đất của bạn.
TID_TUTORIAL_21a,Chờ việc xây dựng hoàn thành hoặc tăng tốc bằng Kim cương.
TID_TUTORIAL_22a,Nhấn vào lò bánh mỳ và kéo bánh mỳ vào lò nướng.
TID_TUTORIAL_23a,Nướng bánh xong ngay lập tức bằng cách nhấn nút Tăng tốc bên dưới biểu tượng hình chiếc bánh mỳ. Thơm quá!
TID_TUTORIAL_24,"Khi thăng cấp, bạn sẽ mở khóa những cải tiến mới. Ngay lúc này, Cửa hàng đã có ba mảnh ruộng mới đang chờ bạn sử dụng!"
TID_TUTORIAL_24a,Mở menu Cửa hàng và kéo ba mảnh ruộng mới lên đất của bạn.
TID_TUTORIAL_25a,Hãy trồng thêm hạt giống nào. Bạn vẫn còn nhớ cách làm chứ? (Hãy nhấn vào mảnh ruộng!)
TID_TUTORIAL_26,Trang trại vui vẻ là ngôi nhà của những con vật vui vẻ. Hãy đảm bảo vật nuôi của bạn không bao giờ bị đói bằng cách chế tạo máy chế biến thức ăn!
TID_TUTORIAL_26a,Mua Máy chế biến thức ăn bằng cách kéo máy này từ Cửa hàng và đặt lên đất của bạn.
TID_TUTORIAL_27,"Tình hình kinh doanh đang ngày một phát đạt! Hãy tiếp tục thu hoạch các mảnh ruộng, nướng bánh và sản xuất trứng để bán."
TID_TUTORIAL_27a,Hãy nhớ rằng bạn có thể tăng tốc thời gian trưởng thành của cây trồng bằng cách nhấn nút Tăng tốc.
TID_TUTORIAL_28,"Bíp bíp, xe tải giao hàng đã đến! Hãy chuẩn bị phục vụ hàng loạt đơn hàng nào!"
TID_TUTORIAL_29,Bảng đơn hàng hiển thị các đơn hàng nào có thể phục vụ. Hãy kiếm tiền và kinh nghiệm bằng cách giao các đơn hàng này.
TID_TUTORIAL_29a,Hãy nhấn vào xe tải hoặc bảng đơn hàng để thực hiện lần giao hàng đầu tiên của bạn.
TID_TUTORIAL_30,"Đây rồi! Bây giờ, xe tải giao hàng sẽ lên đường đến nhà trẻ."
TID_TUTORIAL_30a,Dân làng không bao giờ chán những món nông sản tươi ngon của chúng ta! Hãy hoàn thành đơn hàng khác.
TID_TUTORIAL_31,"Bạn đã thực sự biết cách làm rồi đấy! Còn bây giờ, hãy tiếp tục nuôi trồng và hoàn thành các đơn hàng nào."
TID_TUTORIAL_31a,Hãy tiếp tục nuôi trồng và hoàn tất các đơn hàng nào!
TID_TUTORIAL_36,Ụm bò... ò! Đã lâu rồi chúng ta không nuôi bò!
TID_TUTORIAL_36a,Mua chuồng bò bằng cách kéo chiếc chuồng này ra từ Cửa hàng.
TID_TUTORIAL_37a,"Tiếp theo, hãy kéo một chú bò vào chuồng."
TID_TUTORIAL_38a,"Bò đang đói, hãy cho bò ăn!"
TID_TUTORIAL_39,Bò được cho ăn đầy đủ sẽ sản xuất ra loại sữa bổ dưỡng để bạn thu thập.
TID_TUTORIAL_40,"Khi bạn có đủ tiền, hãy mua Máy chế biến sữa từ Cửa hàng. Máy chế biến sữa có thể chế biến sữa thành kem, bơ và thậm chí cả phô mai!"
TID_TUTORIAL_42,Xin chào! Tôi là Mike và tôi điều hành nhà máy xay cũ ở gần thị trấn. Trang trại của bạn thật đáng yêu! Sao bạn không chọn một cái tên thú vị cho trang trại của mình nhỉ? Lưu ý: tốt nhất là không nên sử dụng tên thật của mình.
TID_TUTORIAL_45,"Thật tốt khi có người chăm sóc nơi này. Thôi, gặp lại sau nhé!"
TID_TUTORIAL_46,"Mùi thơm tuyệt hảo đó từ đằng kia bay đến phải không? Ôi, tôi bất lịch sự quá! Tên tôi là Joan."
TID_TUTORIAL_GUEST1,Chúng ta có khách! Hãy nhấn vào anh ấy để xem anh ấy muốn nói gì!
TID_TUTORIAL_GUEST2,"Một người khách khác! Tốt hơn hết, ta nên hỏi xem cô ấy nghĩ gì."
TID_TUTORIAL_47a,"Trước hết, hãy bỏ lớp phủ ra bằng cách nhấn vào đó."
TID_TUTORIAL_48a,"Hãy đợi xe tải giao hàng quay về mang theo phần thưởng của bạn, rồi nhấn vào để nhận thưởng!"
TID_TUTORIAL_47,"Xem kìa, bọn trẻ từ nhà trẻ đã gửi thư cảm ơn bạn!"
TID_TUTORIAL_GUEST3,Anh chàng to con này là ai?
TID_TUTORIAL_48,"Xin chào! Tôi là Greg, hàng xóm của bạn. Nếu bạn cần công cụ, hãy ghé qua chỗ tôi và tôi sẽ giúp bạn!"
TID_TUTORIAL_49,Chúng ta có thể sử dụng công cụ để phát quang đất đai. Hãy đến thăm trang trại của Greg!
TID_TUTORIAL_GUEST4,Hãy mở Thanh Bạn bè!
TID_TUTORIAL_50,Chào mừng bạn đến với trang trại của tôi! Hãy nhớ xem qua những món hàng đang được bày bán trong Cửa hàng bên đường của tôi!
TID_TUTORIAL_51,Cảm ơn bạn đã ghé thăm! Hãy nhớ rằng bạn có thể đến thăm tôi hoặc bạn bè mình bất cứ khi nào bạn muốn!
TID_TUTORIAL_52,"Ồ, Greg thực sự rất nhiệt tình giúp đỡ. Bạn có thể thêm bạn bè để trở thành hàng xóm từ Thanh Bạn bè."
TID_TUTORIAL_53,Đây là Cửa hàng bên đường của bạn. Bạn có thể bày bán hàng hóa tại đây để những người chơi khác vào mua.
TID_TUTORIAL_54,"Bạn có thể quyết định số lượng sản phẩm bạn muốn bán, đặt giá bán và thậm chí quảng cáo trên tờ báo địa phương! Hãy thử xem!"
TID_TUTORIAL_54a,Hãy vào Cửa hàng bên đường của bạn!
TID_TUTORIAL_55,"Bạn có thể xem tờ báo trong hòm thư. Từ đó, bạn có thể nắm bắt được những người khác đang bán những hàng hóa gì."
TID_TUTORIAL_55a,Nhấn vào hòm thư để đọc báo địa phương!
TID_TUTORIAL_56,Xin chào! Bạn có cần giúp trồng loại cây mới không? Tôi có thể cho bạn vài gợi ý!
TID_TUTORIAL_57,"Xin chào! Tôi chỉ muốn cho bạn biết rằng bạn có thể di chuyển, xoay và thậm chí vứt bỏ các đồ vật. Trước hết, hãy nhấn và giữ một đồ vật."
TID_TUTORIAL_57_MOBILE,"Xin chào! Tôi chỉ muốn cho bạn biết rằng bạn có thể di chuyển, xoay và thậm chí vứt bỏ các đồ vật. Trước hết, hãy nhấn và giữ một đồ vật."
TID_TUTORIAL_58a,Phiếu thưởng là gì?
TID_TUTORIAL_59,Đây là vật phẩm sưu tập mà bạn có thể được nhận khi hoàn tất đơn hàng thuyền và ở các nơi khác! Đây là một vật phẩm dành bạn...
TID_TUTORIAL_59a,Xin cảm ơn!
TID_TUTORIAL_60,Nhấn vào nhà và đổ đầy thức ăn ngon lành vào bát trống!
TID_TUTORIAL_61,"Bây giờ, hãy chờ cho đến khi thú cưng của bạn đi ngủ trở lại."
TID_TUTORIAL_62,Thú cưng của bạn đang vui vẻ và thoải mái! Hãy nhấn vào chú để đánh thức và thu điểm.
TID_TUTORIAL_63,Xem thú cưng của bạn tinh nghịch chưa kìa! Hãy nhớ thường xuyên cho ăn để chúng luôn vui vẻ và thu thập điểm sau khi chúng đi ngủ nhé.
TID_TUTORIAL_63_MOBILE,Xem thú cưng của bạn tinh nghịch chưa kìa! Hãy nhớ thường xuyên cho ăn để chúng luôn vui vẻ và thu thập điểm sau khi chúng đi ngủ nhé.
TID_TUTORIAL_64,Xin chào! Bạn có cần giúp đỡ làm bánh pizza không?
TID_TUTORIAL_65,Đến lúc phải tiết kiệm tiền rồi. Bến tàu cần được sửa chữa.
TID_TUTORIAL_66,Bạn cần thêm không gian? Đừng lo! Bạn có thể bắt đầu mở rộng ngay.
TID_TUTORIAL_67,Có thể đây là lúc thích hợp để sửa mỏ cũ? Ai biết được trong đó có kho báu gì.
TID_TUTORIAL_68,"Xin chúc mừng, bến tàu đã được sửa chữa! Giờ đây, bạn đã có thể hoàn thành các đơn hàng thuyền."
TID_TUTORIAL_69,Đây là bảng xếp hạng thuyền. Nhấn vào để xem thành tích của bạn và bạn bè của bạn.
TID_TUTORIAL_70,"Bạn đã thấy hòm thư mới sáng bóng của mình chưa? Ồ, tôi nghĩ có ai đó đang tới. Bạn có nghe thấy tiếng huýt sáo không?"
TID_TUTORIAL_71,Hay quá! Bạn đã nhận được lá thư đầu tiên. Hãy mở thư bằng cách nhấn vào hộp thư.
TID_TUTORIAL_72,"Tuyệt vời! Greg đã gửi cho bạn một phiếu quà tặng. Khi thu thập đủ, bạn có thể đặt bưu kiện bí ẩn qua catalog."
TID_TUTORIAL_72_MOBILE,"Tuyệt vời! Greg đã gửi cho bạn một phiếu quà tặng. Khi thu thập đủ, bạn có thể đặt bưu kiện bí ẩn qua catalog."
TID_TUTORIAL_73,Cách thức để bạn nhận được thêm thư? Chỉ cần phụ giúp công việc ở trang trại của các nông dân khác và họ có thể gửi thư cho bạn để cảm ơn!
TID_TUTORIAL_74,"Và với chỉ một chút may mắn, bức thư có thể chứa thẻ quà tặng. Và hãy nhớ rằng: Người đưa thư sẽ ghé nhà bạn mỗi ngày một lần."
TID_TUTORIAL_GUEST5,Nhấn vào hình của Greg để thăm trang trại của anh ấy!
TID_TUTORIAL_GUEST6,Nhấn vào Cửa hàng bên đường của Greg để xem anh ấy bán những gì!
TID_LOADING_SCREEN_CONNECTING,Đang kết nối
TID_LOADING_SCREEN_LOADING,Đang tải
TID_LOADING_SCREEN_UPDATING,Đang cập nhật
TID_BUTTON_INCREASE_CAPACITY,Tăng sức chứa
TID_BUTTON_STORAGE,Quay lại
TID_STORAGE_UPGRADE_DESCRIPTION,Tăng sức chứa lên <CAPACITY>
TID_PLANK_DESCRIPTION,Dùng để nâng cấp Kho vật phẩm của bạn
TID_NAIL_DESCRIPTION,Dùng để nâng cấp Tháp nông sản của bạn
TID_BOLT_DESCRIPTION,Dùng để nâng cấp Kho vật phẩm của bạn
TID_SCREW_DESCRIPTION,Dùng để nâng cấp Tháp nông sản của bạn
TID_DUCT_TAPE_DESCRIPTION,Dùng để nâng cấp Kho vật phẩm của bạn
TID_WOOD_PANEL_DESCRIPTION,Dùng để nâng cấp Tháp nông sản của bạn
TID_DYNAMITE_DESCRIPTION,Dùng để phá đá cỡ nhỏ
TID_DEMOLITION_CHARGE_DESCRIPTION,Dùng để phá đá cỡ lớn
TID_AXE_DESCRIPTION,Dùng để chặt cây nhỏ
TID_SAW_DESCRIPTION,Dùng để chặt cây lớn
TID_SHOVEL_DESCRIPTION,Dùng để lấp bãi lầy
TID_DAIRY_PRODUCT_DESCRIPTION,Sản xuất bằng Máy chế biến sữa
TID_BARBECUE_PRODUCT_DESCRIPTION,Sản xuất bằng Lò nướng BBQ
TID_BAKERY_PRODUCT_DESCRIPTION,Sản xuất bằng Lò bánh mỳ
TID_LOOM_PRODUCT_DESCRIPTION,Sản xuất bằng Khung cửi
TID_CAKE_OVEN_PRODUCT_DESCRIPTION,Sản xuất bằng Lò nướng bánh kem
TID_PIE_OVEN_PRODUCT_DESCRIPTION,Sản xuất bằng Lò nướng bánh
TID_POPCORN_POT_PRODUCT_DESCRIPTION,Sản xuất bằng Nồi nấu bỏng ngô
TID_SUGAR_MILL_PRODUCT_DESCRIPTION,Sản xuất bằng Máy ép mía
TID_FEED_MILL_PRODUCT_DESCRIPTION,Sản xuất bằng Máy chế biến thức ăn
TID_JUICE_PRESS_PRODUCT_DESCRIPTION,Sản xuất bằng Máy ép nước quả
TID_JAM_MAKER_PRODUCT_DESCRIPTION,Sản xuất bằng Máy làm mứt
TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,Sản xuất bằng Máy làm kem
TID_JEWELER_PRODUCT_DESCRIPTION,Sản xuất bằng Máy làm trang sức
TID_APPLE_DESCRIPTION,Thu hoạch từ Cây táo
TID_CHERRY_DESCRIPTION,Thu hoạch từ Cây anh đào
TID_CACAO_DESCRIPTION,Thu hoạch từ Cây ca cao
TID_RASPBERRY_DESCRIPTION,Thu hoạch từ Bụi mâm xôi đỏ
TID_BLACKBERRY_DESCRIPTION,Thu hoạch từ Bụi cây mâm xôi tím
TID_EGG_DESCRIPTION,Thu thập từ Gà
TID_MILK_DESCRIPTION,Thu thập từ Bò
TID_WOOL_DESCRIPTION,Thu thập từ Cừu
TID_BACON_DESCRIPTION,Thu thập từ Heo
TID_GOAT_MILK_DESCRIPTION,Thu thập từ Dê
TID_CASH,Xu
TID_DIAMONDS,Kim cương
TID_CASH_DESCRIPTION,Mua vật phẩm và cải tiến trang trại của bạn
TID_DIAMONDS_DESCRIPTION,Đẩy mạnh sản xuất và mua các hàng hóa còn thiếu
TID_FACEBOOK,Facebook
TID_GAME_CENTER,Game Center
TID_FACEBOOK_ID_NOT_MATCH_TITLE,Thông báo <SOCIAL_MEDIA>
TID_FACEBOOK_ID_NOT_MATCH,Bạn có muốn lưu trò chơi hiện tại vào tài khoản <SOCIAL_MEDIA> mới không?
TID_FACEBOOK_ID_NOT_MATCH_ACTION_1,"Có, thay đổi tài khoản"
TID_FACEBOOK_ID_NOT_MATCH_ACTION_2,"Không, duy trì tài khoản hiện tại"
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_TITLE,Chọn trang trại của bạn
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM,"Chúng tôi tìm thấy một trang trại khác được liên kết với tài khoản <SOCIAL_MEDIA> này:\n(Trang trại <NEW_FARM_NAME>, Cấp độ <NEW_LEVEL>)\n\nBạn có muốn tải không?\n\nCảnh báo: (Trang trại <OLD_FARM_NAME>, Cấp độ <OLD_LEVEL>) hiện tại sẽ bị mất."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_MOBILE,"Chúng tôi tìm thấy một trang trại khác được liên kết với tài khoản <SOCIAL_MEDIA> này:\n(Trang trại <NEW_FARM_NAME>, Cấp độ <NEW_LEVEL>)\n\nBạn có muốn tải không?\n\nCảnh báo: (Trang trại <OLD_FARM_NAME>, Cấp độ <OLD_LEVEL>) hiện tại sẽ bị mất."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_1,"Có, tải trò chơi"
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_2,"Không, duy trì trò chơi hiện tại"
TID_INTRO_01,Mọi việc bắt đầu như mọi ngày...
TID_INTRO_02,Cho đến khi lá thư đến!
TID_INTRO_03,\qChào cháu của chú!\q
TID_INTRO_04,"\qNày cháu, cháu có muốn trở thành nông dân không?\q"
TID_INTRO_05,\qChú đã quyết định nghỉ hưu. Trang trại này sẽ là của cháu nếu cháu muốn!\q
