TID,RU
TID_BLUE_WOOLLY_HAT,Синяя шапка
TID_BLUE_SWEATER,Синий свитер
TID_POPCORN,Попкорн
TID_BUTTER_POPCORN,Попкорн с маслом
TID_CHILI_POPCORN,Попкорн с чили
TID_BACON_AND_EGGS,Яичница с беконом
TID_PANCAKE,Блинчик
TID_HAMBURGER,Гамбургер
TID_PIZZA,Пицца
TID_SPICY_PIZZA,Острая пицца
TID_ROASTED_TOMATOES,Печеные томаты
TID_CARROT_JUICE,Морковный сок
TID_TOMATO_JUICE,Томатный сок
TID_APPLE_JUICE,Яблочный сок
TID_CHERRY_JUICE,Вишневый сок
TID_BERRY_JUICE,Ягодный сок
TID_APPLE,Яблоко
TID_CHERRY,Вишни
TID_CACAO,Какао-бобы
TID_RASPBERRY,Малина
TID_BLACKBERRY,Ежевика
TID_APPLE_JAM,Яблочное варенье
TID_RASPBERRY_JAM,Малиновое варенье
TID_BLUEBERRY_JAM,Ежевичное варенье
TID_CHERRY_JAM,Вишневое варенье
TID_VANILLA_ICE_CREAM,Ванильное мороженое
TID_CHERRY_POPSICLE,Вишневое мороженое
TID_CHOCOLATE_ICE_CREAM,Шоколадное мороженое
TID_APPLE_PIE,Яблочный пирог
TID_FETA_PIE,Пирог с фетой
TID_BRACELET,Браслет
TID_NECKLACE,Ожерелье
TID_DIAMOND_RING,Кольцо с бриллиантом
TID_FEED_MILL,Дробилка
TID_BAKERY,Пекарня
TID_POPCORN_POT,Попкорница
TID_DAIRY,Молокозавод
TID_SUGAR_MILL,Сахарный завод
TID_PIE_OVEN,Печь для пирогов
TID_LOOM,Ткацкий станок
TID_CAKE_OVEN,Печь для тортов
TID_BARBECUE_GRILL,Гриль
TID_JUICE_PRESS,Соковыжималка
TID_JAM_MAKER,Вареньеварка
TID_ICE_CREAM_MAKER,Мороженица
TID_JEWELER,Ювелир
TID_APPLE_TREE,Яблоня
TID_CHERRY_TREE,Вишня
TID_CACAO_TREE,Дерево какао
TID_RASPBERRY_BUSH,Куст малины
TID_BLACKBERRY_BUSH,Куст ежевики
TID_DYNAMITE,Динамит
TID_DEMOLITION_CHARGE,Бочка с тротилом
TID_AXE,Топор
TID_SAW,Пила
TID_SHOVEL,Лопата
TID_PLANK,Доска
TID_NAIL,Гвозди
TID_BOLT,Болт
TID_SCREW,Шуруп
TID_DUCT_TAPE,Клейкая лента
TID_WOOD_PANEL,Деревянная панель
TID_EMPTY_FIELD,Поле
TID_CHICKEN,Курица
TID_COW,Корова
TID_SHEEP,Овца
TID_PIG,Свинья
TID_GOAT,Коза
TID_CHICKEN_HABITAT,Курятник
TID_COW_HABITAT,Пастбище для коров
TID_SHEEP_HABITAT,Пастбище для овец
TID_PIG_HABITAT,Свинарник
TID_GOAT_HABITAT,Загон для коз
TID_HAMMERMILL_DESCRIPTION,Производит корм для животных.
TID_BAKERY_DESCRIPTION,Производит выпечку.
TID_POPCORN_POT_DESCRIPTION,Производит попкорн.
TID_DAIRY_DESCRIPTION,Производит молочные продукты.
TID_SUGAR_MILL_DESCRIPTION,Производит сахарную продукцию.
TID_PIE_OVEN_DESCRIPTION,Печет пироги.
TID_LOOM_DESCRIPTION,Производит одежду.
TID_BARBECUE_GRILL_DESCRIPTION,Поджаривает еду.
TID_CAKE_OVEN_DESCRIPTION,Печет торты.
TID_JUICE_PRESS_DESCRIPTION,Давит сок.
TID_JAM_MAKER_DESCRIPTION,Изготавливает варенье.
TID_ICE_CREAM_MAKER_DESCRIPTION,Изготавливает мороженое.
TID_JEWELER_DESCRIPTION,Изготавливает ювелирные изделия.
TID_APPLE_TREE_DESCRIPTION,Дает урожай три раза.
TID_CHERRY_TREE_DESCRIPTION,Дает урожай три раза.
TID_CACAO_TREE_DESCRIPTION,Дает урожай три раза.
TID_RASPBERRY_BUSH_DESCRIPTION,Дает урожай три раза.
TID_BLACKBERRY_BUSH_DESCRIPTION,Дает урожай три раза.
TID_NEED_MORE_POPUP_TITLE,Мало ресурсов!
TID_NEED_MORE_RESOURCES_CANT_BUY_TEXT,"Достань недостающие ресурсы, чтобы выполнить заказ."
TID_NEED_MORE_POPUP_GENERIC_TEXT,Ты можешь купить недостающие ресурсы и выполнить действие за алмазы.
TID_NEED_MORE_CROPS_HINT,Недостающие растения можно купить у друзей.\n\nТы также можешь купить их прямо сейчас за алмазы.
TID_NEED_MORE_CROPS_HINT_MOBILE,Недостающие растения можно купить у друзей.\n\nТы также можешь купить их прямо сейчас за алмазы.
TID_NEED_MORE_ANIMAL_FOOD_HINT,Производи дополнительный корм для животных с помощью дробилки. Ты также можешь накормить их прямо сейчас за алмазы.
TID_SILO_FULL_TITLE,Силосная башня заполнена
TID_SILO_FULL_DESCRIPTION,Силосная башня переполнена! Улучши ее и получи больше места.
TID_WAREHOUSE_FULL_TITLE,Амбар переполнен
TID_WAREHOUSE_FULL_DESCRIPTION,"Амбар переполнен! Получи больше места, улучшив амбар."
TID_WAREHOUSE_FULL_DESCRIPTION_MOBILE,"Амбар переполнен! Получи больше места, улучшив амбар."
TID_LEVEL_UP_TITLE,ПОЗДРАВЛЯЕМ!
TID_LEVEL_UP_TEXT,Теперь ты ФЕРМЕР <LEVEL_NUMBER>-го УРОВНЯ!
TID_LEVEL_UP_ITEM_NEW,Новое
TID_LEVEL_UP_ITEM_NEW_AND_REWARD,Новое +<REWARD>
TID_ORDER_TABLE_TITLE,Заказы
TID_ORDER_TITLE_00,Детский сад
TID_ORDER_TITLE_01,Школа
TID_ORDER_TITLE_02,Церковь
TID_ORDER_TITLE_03,Салон Джоан
TID_ORDER_TITLE_04,Магазин Сюзанны
TID_ORDER_TITLE_05,Мельница Майка
TID_ORDER_TITLE_06,Пивоварня Бена
TID_ORDER_TITLE_07,Рыбный промысел Фабио
TID_ORDER_TITLE_08,Фабрика Фрэнка
TID_ORDER_TITLE_09,Кладбище Гранта
TID_ORDER_TABLE_WAITING,Подожди минутку...
TID_ORDER_TABLE_WAITING_TEXT,Этот заказ недоступен. Подожди или ускорь процесс!
TID_SOCIAL_LOGIN_TITLE,Найди других фермеров!
TID_SOCIAL_LOGIN_1_TEXT,"Выполни вход в <SOCIAL_1>, чтобы торговать со своими друзьями!"
TID_SOCIAL_LOGIN_2_TEXT,Выполни вход в <SOCIAL_1> или <SOCIAL_2> и начни торговать со своими друзьями!
TID_ROADSIDE_SHOP_TITLE,Придорожный киоск
TID_ROADSIDE_SHOP_FRIEND_TITLE,Придорожный киоск игрока <NAME>
TID_ROADSIDE_SHOP_ITEM_COUNT,<COUNT>x
TID_ROADSIDE_SHOP_ITEM_SOLD,{size=17}ПРОДАНО
TID_ROADSIDE_SHOP_CREATE_NEW_SALE,На продажу
TID_ROADSIDE_SHOP_NEW_SALE_TITLE,Продается
TID_ROADSIDE_SHOP_NEW_SALE_ADJUST_PRICE,Изменить цену
TID_ROADSIDE_SHOP_NEW_SALE_CONFIRM_BUTTON,Выставить
TID_ROADSIDE_SHOP_ADVERTISE,Рекламировать
TID_ROADSIDE_SHOP_ADVERTISE_WITH_TIME,Рекламировать
TID_SHOP_TITLE,Магазин
TID_TUTORIAL_01,"Привет! Я - мистер Викер, и я помогу тебе обосноваться на твоей новой ферме!"
TID_TUTORIAL_02a,"Коснись пшеничного поля и выбери серп. Затем собери урожай, проводя серпом по пшенице."
TID_TUTORIAL_03a,"Прикоснись к пустому полю. Затем поводи значком пшеницы над полем, чтобы посеять ее."
TID_TUTORIAL_04,Для роста семян требуется время. При сборе урожая с каждого поля собирается две единицы растения.
TID_TUTORIAL_05a,"Прикоснись к своему дому и покрась его, проводя по нему кистью."
TID_TUTORIAL_06a,Ловко! Было бы неплохо и амбар освежить...
TID_TUTORIAL_07a,Покрась силосную башню тоже!
TID_TUTORIAL_10,Здорово! А теперь давай заведем пернатых друзей!
TID_TUTORIAL_10a,Перетяни курицу из магазина в курятник.
TID_TUTORIAL_11a,Давай-ка купим еще одну курицу!
TID_TUTORIAL_12a,Как насчет третьей курицы?
TID_TUTORIAL_13a,"Коснись курицы, а затем проведи мешком с кормом по всем курам, чтобы накормить их."
TID_TUTORIAL_14a,"Прикоснись к курице, а затем к кнопке ускорения!"
TID_TUTORIAL_14b,"Прикоснись к курице, а затем дважды прикоснись к кнопке ускорения!"
TID_TUTORIAL_14c,"Прикоснись к курице, а затем удерживай нажатой кнопку ускорения!"
TID_TUTORIAL_15a,Отлично! Ускорь и вторую курицу.
TID_TUTORIAL_16a,Здорово! Ускорь за компанию и последнюю курицу.
TID_TUTORIAL_17a,"Перетягивай корзину по всем курам, чтобы собрать яйца."
TID_TUTORIAL_20,"Здорово! Как насчет того, чтобы испечь из всей этой пшеницы хлеб в новой пекарне?"
TID_TUTORIAL_20a,"Открой меню магазина, коснувшись кнопки в левом нижнем углу экрана. Купи пекарню, перетащив ее на ферму."
TID_TUTORIAL_20a_MOBILE,"Открой меню магазина, коснувшись кнопки в левом нижнем углу экрана. Купи пекарню, перетащив ее на ферму."
TID_TUTORIAL_21a,Дождись окончания строительства или ускорь его за алмазы.
TID_TUTORIAL_22a,Прикоснись к пекарне и перетяни хлеб в печь.
TID_TUTORIAL_23a,Заверши выпечку мгновенно: коснись кнопки ускорения под изображением хлеба. Какой аромат!
TID_TUTORIAL_24,При повышении уровня тебе становятся доступны новые улучшения. Сейчас в магазине тебя ждут три новых участка!
TID_TUTORIAL_24a,Открой меню магазина и перетяни на ферму три новых участка.
TID_TUTORIAL_25a,"Давай посадим еще семян. Помнишь, как? (Прикоснись к полю!)"
TID_TUTORIAL_26,"Счастливые животные - счастливая ферма! А чтобы твои животные всегда были сыты, построй дробилку!"
TID_TUTORIAL_26a,"Купи дробилку, перетянув ее из магазина на свою ферму."
TID_TUTORIAL_27,Бизнес процветает! Продолжай собирать урожай на полях и яйца на продажу и печь хлеб.
TID_TUTORIAL_27a,"Помни, ускорить рост растений можно, прикоснувшись к кнопке ускорения."
TID_TUTORIAL_28,"Бип-бип, прибыл грузовик доставки! Приготовься к потоку заказов!"
TID_TUTORIAL_29,На доске заказов видны доступные заказы. Зарабатывай деньги и опыт с помощью их доставки.
TID_TUTORIAL_29a,"Прикоснись к грузовику или доске заказов, чтобы выполнить свою первую доставку."
TID_TUTORIAL_30,Поехали! Сейчас грузовик доставки находится на пути в детский сад.
TID_TUTORIAL_30a,Эти горожане просто в восторге от свежих продуктов с нашей фермы! Давай-ка выполним еще один заказ.
TID_TUTORIAL_31,Молодец! Ты быстро учишься! Продолжай в том же духе: веди хозяйство и выполняй заказы.
TID_TUTORIAL_31a,Продолжай вести хозяйство и выполнять заказы!
TID_TUTORIAL_36,Му-у-у! Давненько здесь не было слышно коров!
TID_TUTORIAL_36a,"Купи пастбище для коров, перетянув его из магазина."
TID_TUTORIAL_37a,А теперь перетяни корову на пастбище.
TID_TUTORIAL_38a,"Она голодна, давай ее накормим!"
TID_TUTORIAL_39,Сытая корова дает питательное молоко.
TID_TUTORIAL_40,"Когда у тебя будет достаточно денег, купи в магазине молокозавод. Он может перерабатывать молоко в сливки, масло и даже сыр!"
TID_TUTORIAL_42,"Привет! Я Майк, работаю на старой мельнице недалеко от города. У тебя милая ферма — как насчет того, чтобы дать ей какое-нибудь интересное название? Только лучше не использовать свое настоящее имя."
TID_TUTORIAL_45,"Как здорово, что кто-то хорошо распоряжается этой землей. Ладно, увидимся!"
TID_TUTORIAL_46,"Откуда этот чудесный аромат? Ой, прости, я не представилась. Меня зовут Джоан."
TID_TUTORIAL_GUEST1,"У нас посетитель! Прикоснись к нему, чтобы узнать, что он хочет сказать!"
TID_TUTORIAL_GUEST2,"Еще один посетитель! Стоит спросить, что ей нужно."
TID_TUTORIAL_47a,"Снимем ткань, прикоснувшись к ней."
TID_TUTORIAL_48a,"Дождись возвращения грузовика доставки вместе с твоей наградой, затем прикоснись к нему, чтобы получить ее!"
TID_TUTORIAL_47,"Глянь-ка, детишки из детского сада прислали тебе благодарственное письмо!"
TID_TUTORIAL_GUEST3,Кто этот здоровяк?
TID_TUTORIAL_48,"Приветствую! Я - Грег, твой сосед. Если понадобятся инструменты, заходи ко мне домой, с радостью помогу!"
TID_TUTORIAL_49,Мы могли бы воспользоваться инструментами для расчистки участка. Давай-ка посетим ферму Грега!
TID_TUTORIAL_GUEST4,Открой панель друзей!
TID_TUTORIAL_50,Добро пожаловать на мою ферму! Обязательно познакомься с товарами в моем придорожном киоске!
TID_TUTORIAL_51,"Рад был тебя увидеть! Помни, ты можешь заходить ко мне и к своим друзьям в любое время!"
TID_TUTORIAL_52,"Ого, Грег и вправду очень любезен. Ты можешь добавить больше друзей и соседей с панели друзей."
TID_TUTORIAL_53,"Это твой придорожный киоск. Здесь ты можешь выставить на продажу товары, которые смогут купить другие игроки."
TID_TUTORIAL_54,"Теперь ты можешь решать, сколько продукции выставить на продажу, можешь устанавливать цены и даже давать объявления в местную газету! Попробуй!"
TID_TUTORIAL_54a,Зайди в свой придорожный киоск!
TID_TUTORIAL_55,"У тебя в почтовом ящике свежая газета. Из нее можно узнать, что есть на продажу у других фермеров."
TID_TUTORIAL_55a,"Прикоснись к почтовому ящику, чтобы почитать местную газету!"
TID_TUTORIAL_56,Здравствуй! Тебе нужна помощь с высадкой нового растения? Могу дать парочку советов!
TID_TUTORIAL_57,"Привет! Хочу тебе подсказать: ты можешь перемещать, вращать и даже убирать объекты. Сначала прикоснись к объекту и удерживай его."
TID_TUTORIAL_57_MOBILE,"Привет! Хочу тебе подсказать: ты можешь перемещать, вращать и даже убирать объекты. Сначала прикоснись к объекту и удерживай его."
TID_TUTORIAL_58a,Что такое ваучеры?
TID_TUTORIAL_59,"Это коллекционные предметы, которые можно получить за заказы на доставку пароходом и в других местах! Это для тебя..."
TID_TUTORIAL_59a,Спасибо!
TID_TUTORIAL_60,Прикоснись к домику и наполни пустую миску вкуснейшей едой!
TID_TUTORIAL_61,"А теперь дождись, пока твои питомцы не вернутся спать."
TID_TUTORIAL_62,"Твой питомец счастлив и спокоен! Прикоснись, чтобы разбудить его и получить очки."
TID_TUTORIAL_63,"Смотри, как резвится твой питомец! Не забывай регулярно кормить его, чтобы он был доволен, и получай очки, после того как он заснет."
TID_TUTORIAL_63_MOBILE,"Смотри, как резвится твой питомец! Не забывай регулярно кормить его, чтобы он был доволен, и получай очки, после того как он заснет."
TID_TUTORIAL_64,Привет! Нужна помощь с пиццами?
TID_TUTORIAL_65,Пора нам сэкономить немного монет. Пристань нуждается в ремонте.
TID_TUTORIAL_66,Необходимо больше места? Не беспокойся! Можешь начинать расширять ферму сейчас.
TID_TUTORIAL_67,"Возможно, пора отремонтировать старый рудник? Кто знает, какие сокровища в нем таятся."
TID_TUTORIAL_68,"Поздравляем, пристань отремонтирована! Теперь ты сможешь принимать заказы на доставку пароходом."
TID_TUTORIAL_69,"Это таблица лидеров для пароходов. Прикоснись, чтобы узнать, насколько хорошо получается у тебя и твоих друзей."
TID_TUTORIAL_70,"Ты знаешь, что у тебя появился новый блестящий почтовый ящик? Ой, кажется, кто-то идет. Слышишь посвистывание?"
TID_TUTORIAL_71,"Класс! Ты получаешь свое первое письмо. Давай же, открой его, нажав на почтовый ящик."
TID_TUTORIAL_72,"Чудесно! Грег отправил тебе подарочную карту. Собери карты в достаточном количестве, и ты сможешь заказать загадочный пакет из каталога."
TID_TUTORIAL_72_MOBILE,"Чудесно! Грег отправил тебе подарочную карту. Собери карты в достаточном количестве, и ты сможешь заказать загадочный пакет из каталога."
TID_TUTORIAL_73,"Как получать больше писем? Просто помогай другим фермерам на их фермах, и они пришлют тебе письмо в ответ!"
TID_TUTORIAL_74,"Если тебе хоть немножко повезет, в нем может быть подарочная карта. И помни: почтальон будет посещать тебя раз в день."
TID_TUTORIAL_GUEST5,"Коснись изображения Грега, чтобы посетить его ферму!"
TID_TUTORIAL_GUEST6,"Коснись придорожного киоска Грега, чтобы узнать, что он продает!"
TID_LOADING_SCREEN_CONNECTING,Соединение
TID_LOADING_SCREEN_LOADING,Загрузка
TID_LOADING_SCREEN_UPDATING,Обновление
TID_BUTTON_INCREASE_CAPACITY,Увеличить вместимость
TID_BUTTON_STORAGE,Назад
TID_STORAGE_UPGRADE_DESCRIPTION,Увеличить вместимость до <CAPACITY>
TID_PLANK_DESCRIPTION,Используется для улучшения амбара.
TID_NAIL_DESCRIPTION,Используется для улучшения силосной башни.
TID_BOLT_DESCRIPTION,Используется для улучшения амбара.
TID_SCREW_DESCRIPTION,Используется для улучшения силосной башни.
TID_DUCT_TAPE_DESCRIPTION,Используется для улучшения амбара.
TID_WOOD_PANEL_DESCRIPTION,Используется для улучшения силосной башни.
TID_DYNAMITE_DESCRIPTION,Используется для уничтожения маленьких камней.
TID_DEMOLITION_CHARGE_DESCRIPTION,Используется для уничтожения больших камней.
TID_AXE_DESCRIPTION,Используется для вырубки маленьких деревьев.
TID_SAW_DESCRIPTION,Используется для спиливания больших деревьев.
TID_SHOVEL_DESCRIPTION,Используется для осушения болот.
TID_DAIRY_PRODUCT_DESCRIPTION,Производится на молокозаводе.
TID_BARBECUE_PRODUCT_DESCRIPTION,Производится на гриле.
TID_BAKERY_PRODUCT_DESCRIPTION,Производится в пекарне.
TID_LOOM_PRODUCT_DESCRIPTION,Производится на ткацком станке.
TID_CAKE_OVEN_PRODUCT_DESCRIPTION,Производится в печи для тортов.
TID_PIE_OVEN_PRODUCT_DESCRIPTION,Производится в печи для пирогов.
TID_POPCORN_POT_PRODUCT_DESCRIPTION,Производится в попкорнице.
TID_SUGAR_MILL_PRODUCT_DESCRIPTION,Производится на сахарном заводе.
TID_FEED_MILL_PRODUCT_DESCRIPTION,Производится на дробилке.
TID_JUICE_PRESS_PRODUCT_DESCRIPTION,Производится в соковыжималке.
TID_JAM_MAKER_PRODUCT_DESCRIPTION,Производится в вареньеварке.
TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,Производится в мороженице.
TID_JEWELER_PRODUCT_DESCRIPTION,Производится у ювелира.
TID_APPLE_DESCRIPTION,Собирается с яблонь.
TID_CHERRY_DESCRIPTION,Собирается с вишневых деревьев.
TID_CACAO_DESCRIPTION,Собираются с дерево какао.
TID_RASPBERRY_DESCRIPTION,Собирается с куста малины.
TID_BLACKBERRY_DESCRIPTION,Собирается с кустов ежевики.
TID_EGG_DESCRIPTION,Берется у кур.
TID_MILK_DESCRIPTION,Берется у коров.
TID_WOOL_DESCRIPTION,Берется у овец.
TID_BACON_DESCRIPTION,Берется у свиней.
TID_GOAT_MILK_DESCRIPTION,Берется у коз.
TID_CASH,Монеты
TID_DIAMONDS,Алмазы
TID_CASH_DESCRIPTION,Используются для покупки товаров и улучшений для фермы.
TID_DIAMONDS_DESCRIPTION,Увеличивай объемы производства и покупай недостающие продукты.
TID_FACEBOOK,Facebook
TID_GAME_CENTER,Game Center
TID_FACEBOOK_ID_NOT_MATCH_TITLE,Уведомление от <SOCIAL_MEDIA>
TID_FACEBOOK_ID_NOT_MATCH,Хочешь сохранить свою текущую игру в новой учетной записи в <SOCIAL_MEDIA>?
TID_FACEBOOK_ID_NOT_MATCH_ACTION_1,"Да, изменить учетную запись"
TID_FACEBOOK_ID_NOT_MATCH_ACTION_2,"Нет, сохранить текущую учетную запись"
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_TITLE,Выбери свою ферму
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM,"С этой учетной записью <SOCIAL_MEDIA> связана другая ферма\n(«<NEW_FARM_NAME>», <NEW_LEVEL>-й уровень )\n\nЗагрузить данные?\n\nВнимание: данные о текущей ферме («<OLD_FARM_NAME>», <OLD_LEVEL>-й уровень) будут потеряны."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_MOBILE,"С этой учетной записью <SOCIAL_MEDIA> связана другая ферма\n(«<NEW_FARM_NAME>», <NEW_LEVEL>-й уровень )\n\nЗагрузить данные?\n\nВнимание: данные о текущей ферме («<OLD_FARM_NAME>», <OLD_LEVEL>-й уровень) будут потеряны."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_1,"Да, загрузить игру"
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_2,"Нет, сохранить текущую игру"
TID_INTRO_01,Это был самый обычный день...
TID_INTRO_02,Пока не пришло письмо!
TID_INTRO_03,«Привет от дядюшки!»
TID_INTRO_04,«Приходила ли тебе в голову мысль стать фермером?»
TID_INTRO_05,"«Я решил уйти на пенсию. Ферма твоя, если, конечно, она тебе нужна!»"
TID_INTRO_06,"Вперед, навстречу новой веселой сельской жизни."
TID_ANIMATION_Harvest,Сбор урожая
TID_ANIMATION_Seeding,Посадка семян
TID_ANIMATION_CropInfo,Созревание урожая
TID_ANIMATION_BuyChicken,Покупка куриц
TID_ANIMATION_FeedChicken,Кормление кур
TID_ANIMATION_CollectEggs,Сбор яиц
TID_ANIMATION_BakeBread,Выпечка хлеба
TID_ANIMATION_6th crop,Расширение поля
TID_ANIMATION_EditObjects,Обустройство фермы
TID_ANIMATION_Pizzas,Поиск пиццы
TID_ANIMATION_SendLetter,Отправка писем
TID_DIAMOND_PACK_1,Горсть алмазов
TID_DIAMOND_PACK_2,Мешочек алмазов
TID_DIAMOND_PACK_3,Куль алмазов
TID_DIAMOND_PACK_4,Короб алмазов
TID_DIAMOND_PACK_5,Ящик алмазов
TID_DIAMOND_PACK_6,Сундук алмазов
TID_DIAMOND_PACK_2_Birthday_1,Набор на день рождения 1
TID_DIAMOND_PACK_3_Birthday_2,Набор на день рождения 2
TID_DIAMOND_PACK_5_Birthday_3,Набор на день рождения 3
TID_DIAMOND_PACK_2_Special_1,Особый набор 1
TID_DIAMOND_PACK_3_Special_2,Особый набор 2
TID_DIAMOND_PACK_5_Special_3,Особый набор 3
TID_CASH_PACK_1,Горсть монет
TID_CASH_PACK_2,Мешочек монет
TID_CASH_PACK_3,Куль монет
TID_CASH_PACK_4,Ящик монет
TID_CASH_PACK_5,Чемодан монет
TID_CASH_PACK_6,Сундук монет
TID_BUY_DIAMONDS_TITLE,Магазин алмазов
TID_BUY_CASH_TITLE,Магазин монет
TID_ORDER_SCREEN_SELECT_ORDER,Выбери заказ слева.
TID_NOTIFICATION_BUILDING_CONSTRUCTION_READY,<NAME> - строительство завершено
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK,Животные с твоей фермы скучают по тебе!
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK_MOBILE,Животные с твоей фермы скучают по тебе!
TID_NOTIFICATION_CROPS_READY,"Все созрело, пора собирать урожай!"
TID_NOTIFICATION_CHICKEN_READY,Пора собирать яйца!
TID_NOTIFICATION_COW_READY,Пора доить коров!
TID_NOTIFICATION_SHEEP_READY,Пора собирать шерсть!
TID_NOTIFICATION_PIG_READY,Пора собирать бекон!
TID_NOTIFICATION_GOAT_READY,Пора доить коз!
TID_NOTIFICATION_ORDER_READY,"Есть заказ, который ты можешь выполнить!"
TID_NOTIFICATION_DAILY_GIFT,"Привет, фермер! Не забудь получить ежедневный подарок!"
TID_NATIVE_DIALOG_CONNECTION_LOST_TITLE,Соединение потеряно
TID_NATIVE_DIALOG_CONNECTION_LOST_MESSAGE,Соединение с сервером потеряно. Проверьте подключение к интернету и попробуйте снова.
TID_NATIVE_DIALOG_CONNECTION_LOST_BUTTON,Попробовать снова
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_TITLE,Соединение потеряно
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_MESSAGE,Сервер не отвечает. Проверьте подключение к интернету и попробуйте снова.
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_BUTTON,Попробовать снова
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_TITLE,Соединение потеряно
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_MESSAGE,Биллинг-сервер не отвечает. Попытайся еще раз позже.
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_BUTTON,ОК
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_TITLE,Требуется обновление
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_MESSAGE,Вышло обновление! Загрузи последнюю версию игры и получи подарок — бесплатные алмазы будут ждать тебя в магазине!
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_BUTTON,Загрузить
TID_NATIVE_DIALOG_LOGIN_FAILED_TITLE,Ошибка подключения
TID_NATIVE_DIALOG_LOGIN_FAILED_MESSAGE,Подключение к серверу невозможно. Код ошибки: <CODE>
TID_NATIVE_DIALOG_LOGIN_FAILED_BUTTON,Попробовать снова
TID_NATIVE_DIALOG_UNABLE_TO_CONNECT_TITLE,Ошибка подключения
TID_NATIVE_DIALOG_UNABLE_TO_CONNECT_MESSAGE,Невозможно подключиться к серверу. Проверьте подключение к интернету и попробуйте снова.
