TID,TH
TID_CACAO,โกโก้
TID_RASPBERRY,ราสเบอร์รี
TID_BLACKBERRY,แบล็กเบอร์รี
TID_APPLE_JAM,แยมแอปเปิล
TID_RASPBERRY_JAM,แยมราสเบอร์รี
TID_BLUEBERRY_JAM,แยมแบล็กเบอร์รี
TID_CHERRY_JAM,แยมเชอร์รี
TID_VANILLA_ICE_CREAM,ไอศกรีมวานิลลา
TID_CHERRY_POPSICLE,ไอติมรสเชอร์รี
TID_CHOCOLATE_ICE_CREAM,ไอศกรีมช็อกโกแลต
TID_APPLE_PIE,พายแอปเปิล
TID_FETA_PIE,พายชีสเฟตา
TID_BRACELET,สร้อยข้อมือ
TID_NECKLACE,สร้อยคอ
TID_DIAMOND_RING,แหวนเพชร
TID_FEED_MILL,เครื่องบดอาหารสัตว์
TID_BAKERY,เตาอบเบเกอรี่
TID_POPCORN_POT,เตาป๊อปคอร์น
TID_DAIRY,โรงผลิตนม
TID_SUGAR_MILL,เครื่องคั้นอ้อย
TID_PIE_OVEN,เตาอบพาย
TID_LOOM,หูกทอผ้า
TID_CAKE_OVEN,เตาอบเค้ก
TID_BARBECUE_GRILL,เตาบาร์บีคิว
TID_JUICE_PRESS,เครื่องคั้นน้ำผลไม้
TID_JAM_MAKER,เครื่องทำแยม
TID_ICE_CREAM_MAKER,เครื่องทำไอศกรีม
TID_JEWELER,โรงผลิตเครื่องประดับ
TID_APPLE_TREE,ต้นแอปเปิล
TID_CHERRY_TREE,ต้นเชอร์รี
TID_CACAO_TREE,ต้นโกโก้
TID_RASPBERRY_BUSH,พุ่มราสเบอร์รี
TID_BLACKBERRY_BUSH,พุ่มแบล็กเบอร์รี
TID_DYNAMITE,ระเบิดไดนาไมต์
TID_DEMOLITION_CHARGE,ถังระเบิด TNT
TID_AXE,ขวาน
TID_SAW,เลื่อย
TID_SHOVEL,พลั่ว
TID_PLANK,ไม้กระดาน
TID_NAIL,ตะปู
TID_BOLT,สลัก
TID_SCREW,ตะปูควง
TID_DUCT_TAPE,เทปกาว
TID_WOOD_PANEL,ไม้ฝา
TID_EMPTY_FIELD,แปลง
TID_CHICKEN,ไก่
TID_COW,วัว
TID_SHEEP,แกะ
TID_PIG,หมู
TID_GOAT,แพะ
TID_CHICKEN_HABITAT,เล้าไก่
TID_COW_HABITAT,คอกวัว
TID_SHEEP_HABITAT,คอกแกะ
TID_PIG_HABITAT,เล้าหมู
TID_GOAT_HABITAT,คอกแพะ
TID_HAMMERMILL_DESCRIPTION,ผลิตอาหารสัตว์
TID_BAKERY_DESCRIPTION,อบอาหาร
TID_POPCORN_POT_DESCRIPTION,ผลิตป๊อปคอร์น
TID_DAIRY_DESCRIPTION,ผลิตผลิตภัณฑ์จากนม
TID_SUGAR_MILL_DESCRIPTION,ผลิตผลิตภัณฑ์จากน้ำตาล
TID_PIE_OVEN_DESCRIPTION,อบพาย
TID_LOOM_DESCRIPTION,ทอผ้า
TID_BARBECUE_GRILL_DESCRIPTION,ปิ้งย่างอาหาร
TID_CAKE_OVEN_DESCRIPTION,อบเค้ก
TID_JUICE_PRESS_DESCRIPTION,คั้นน้ำผลไม้
TID_JAM_MAKER_DESCRIPTION,ทำแยม
TID_ICE_CREAM_MAKER_DESCRIPTION,ทำไอศกรีม
TID_JEWELER_DESCRIPTION,ทำเครื่องประดับ
TID_APPLE_TREE_DESCRIPTION,เก็บได้สามครั้ง
TID_CHERRY_TREE_DESCRIPTION,เก็บได้สามครั้ง
TID_CACAO_TREE_DESCRIPTION,เก็บได้สามครั้ง
TID_RASPBERRY_BUSH_DESCRIPTION,เก็บได้สามครั้ง
TID_BLACKBERRY_BUSH_DESCRIPTION,เก็บได้สามครั้ง
TID_NEED_MORE_POPUP_TITLE,วัตถุดิบไม่เพียงพอ!
TID_NEED_MORE_RESOURCES_CANT_BUY_TEXT,หาวัตถุดิบที่ขาดไปเพื่อทำคำสั่งซื้อให้เสร็จ
TID_NEED_MORE_POPUP_GENERIC_TEXT,หาวัตถุดิบที่ขาดไปและดำเนินการต่อโดยใช้เพชร
TID_NEED_MORE_CROPS_HINT,คุณสามารถซื้อพืชผลที่ขาดไปจากเพื่อนได้\n\nหรือซื้อด้วยเพชรได้ทันที!
TID_NEED_MORE_CROPS_HINT_MOBILE,คุณสามารถซื้อพืชผลที่ขาดไปจากเพื่อนได้\n\nหรือซื้อด้วยเพชรได้ทันที!
TID_NEED_MORE_ANIMAL_FOOD_HINT,ทำอาหารสัตว์เพิ่มด้วยเครื่องบดอาหารสัตว์ หรือให้อาหารได้ทันทีด้วยเพชร
TID_SILO_FULL_TITLE,ยุ้งฉางเต็ม
TID_SILO_FULL_DESCRIPTION,ยุ้งฉางเต็มแล้ว! เพิ่มเนื้อที่ได้ด้วยการอัปเกรดยุ้งฉางของคุณ
TID_WAREHOUSE_FULL_TITLE,โรงนาเต็ม
TID_WAREHOUSE_FULL_DESCRIPTION,โรงนาเต็มแล้ว! เพิ่มเนื้อที่ได้ด้วยการอัปเกรดโรงนาของคุณ
TID_WAREHOUSE_FULL_DESCRIPTION_MOBILE,โรงนาเต็มแล้ว! เพิ่มเนื้อที่ได้ด้วยการอัปเกรดโรงนาของคุณ
TID_LEVEL_UP_TITLE,ยินดีด้วย!
TID_LEVEL_UP_TEXT,คุณเป็นชาวไร่เลเวล <LEVEL_NUMBER> แล้ว!
TID_LEVEL_UP_ITEM_NEW,ใหม่!
TID_LEVEL_UP_ITEM_NEW_AND_REWARD,ใหม่! +<REWARD>
TID_ORDER_TABLE_TITLE,คำสั่งซื้อ
TID_ORDER_TITLE_00,โรงเรียนอนุบาล
TID_ORDER_TITLE_01,โรงเรียน
TID_ORDER_TITLE_02,โบสถ์
TID_ORDER_TITLE_03,ร้านเสริมสวยคุณโจน
TID_ORDER_TITLE_04,ร้านคุณซูซาน
TID_ORDER_TITLE_05,โรงสีคุณไมค์
TID_ORDER_TITLE_06,โรงเบียร์คุณเบน
TID_ORDER_TITLE_07,ท่าประมงคุณฟาบิโอ
TID_ORDER_TITLE_08,โรงงานคุณแฟรงค์
TID_ORDER_TITLE_09,สุสานแกรนท์
TID_ORDER_TABLE_WAITING,โปรดรอ...
TID_ORDER_TABLE_WAITING_TEXT,คำสั่งซื้อนี้ยังไม่พร้อม รอก่อนหรือเร่งคำสั่ง!
TID_SOCIAL_LOGIN_TITLE,หาเพื่อนชาวไร่เพิ่ม!
TID_SOCIAL_LOGIN_1_TEXT,ล็อกอินไปยัง <SOCIAL_1> แล้วก็เริ่มแลกเปลี่ยนกับเพื่อนๆ ของคุณได้เลย!
TID_SOCIAL_LOGIN_2_TEXT,ล็อกอินไปยัง <SOCIAL_1> หรือ <SOCIAL_2> แล้วก็เริ่มแลกเปลี่ยนกับเพื่อนๆ ของคุณได้เลย!
TID_ROADSIDE_SHOP_TITLE,ร้านริมทาง
TID_ROADSIDE_SHOP_FRIEND_TITLE,ร้านริมทางของ <NAME>
TID_ROADSIDE_SHOP_ITEM_COUNT,<COUNT>x
TID_ROADSIDE_SHOP_ITEM_SOLD,{size=17}ขายแล้ว
TID_ROADSIDE_SHOP_CREATE_NEW_SALE,สร้างรายการขายใหม่
TID_ROADSIDE_SHOP_NEW_SALE_TITLE,รายการขายใหม่
TID_ROADSIDE_SHOP_NEW_SALE_ADJUST_PRICE,ปรับราคา
TID_ROADSIDE_SHOP_NEW_SALE_CONFIRM_BUTTON,วางขาย
TID_ROADSIDE_SHOP_ADVERTISE,โฆษณา
TID_ROADSIDE_SHOP_ADVERTISE_WITH_TIME,โฆษณาเลย
TID_SHOP_TITLE,ร้านค้า
TID_TUTORIAL_01,หวัดดี! ผมคือนายหุ่นไล่กา มาเพื่อช่วยคุณเริ่มทำฟาร์มใหม่ของคุณ!
TID_TUTORIAL_02a,แตะแปลงข้าวสาลีแล้วหยิบเคียวขึ้นมา จากนั้นก็เก็บเกี่ยวด้วยการลากเคียวผ่านข้าวสาลี
TID_TUTORIAL_03a,แตะแปลงว่าง จากนั้นก็ลากข้าวสาลีลงไปบนแปลงเพื่อเพาะเมล็ด
TID_TUTORIAL_04,เมล็ดพืชต้องการเวลาให้เติบโต เมื่อเก็บเกี่ยวแล้ว แต่ละแปลงจะให้พืชผลสองหน่วย
TID_TUTORIAL_05a,แตะบ้านของคุณแล้วทาสีด้วยการลากแปรงบนบ้าน
TID_TUTORIAL_06a,เยี่ยม! ทาสีโรงนาด้วยสิ...
TID_TUTORIAL_07a,ทาสียุ้งฉางด้วยนะ!
TID_TUTORIAL_10,ดีมาก! เอาละ เชิญเพื่อนกะต๊ากมาร่วมวงดีกว่า!
TID_TUTORIAL_10a,ลากไก่มาจากร้านค้าไปยังเล้าไก่
TID_TUTORIAL_11a,ซื้อไก่อีกตัวดีกว่า!
TID_TUTORIAL_12a,ซื้อไก่ตัวที่สามเพิ่มเป็นไง?
TID_TUTORIAL_13a,แตะไก่แล้วลากถุงอาหารผ่านตัวไก่เพื่อให้อาหาร
TID_TUTORIAL_14a,แตะไก่ จากนั้นก็แตะปุ่มเร่ง!
TID_TUTORIAL_14b,แตะไก่ จากนั้นก็แตะปุ่มเร่งสองครั้ง!
TID_TUTORIAL_14c,แตะไก่แล้ว จากนั้นก็แตะปุ่มเร่งค้างไว้!
TID_TUTORIAL_15a,เยี่ยมจริง! เร่งไก่อีกตัวด้วยสิ
TID_TUTORIAL_16a,เยี่ยมยอด! คราวนี้ก็เร่งไก่ตัวสุดท้ายเลย
TID_TUTORIAL_17a,ลากตะกร้าผ่านตัวไก่ทั้งหมดเพื่อเก็บไข่
TID_TUTORIAL_20,เลิศ! ลองเปลี่ยนข้าวสาลีพวกนี้ให้กลายเป็นขนมปังด้วยเตาอบใหม่ดูสิ
TID_TUTORIAL_20a,เปิดเมนูร้านค้าด้วยการแตะปุ่มตรงมุมล่างซ้าย ซื้อเตาอบโดยการลากมันมาวางไว้บนที่ดินของคุณ
TID_TUTORIAL_20a_MOBILE,เปิดเมนูร้านค้าด้วยการแตะปุ่มตรงมุมล่างซ้าย ซื้อเตาอบโดยการลากมันมาวางไว้บนที่ดินของคุณ
TID_TUTORIAL_21a,รอจนกว่าจะสร้างเสร็จหรือเร่งด้วยเพชร
TID_TUTORIAL_22a,แตะเตาอบแล้วลากขนมปังลงไปในเตา
TID_TUTORIAL_23a,อบเสร็จทันทีด้วยการแตะปุ่มเร่งข้างใต้ขนมปัง หอมจัง!
TID_TUTORIAL_24,เมื่อคุณขึ้นเลเวลใหม่ คุณจะปลดล็อคการปรับปรุงเพิ่มเติม ณ ตอนนี้ก็มีแปลงใหม่สามแปลงรอคุณอยู่ในร้านค้า!
TID_TUTORIAL_24a,เปิดเมนูร้านค้าแล้วลากแปลงใหม่สามแปลงลงมาบนที่ดินของคุณ
TID_TUTORIAL_25a,เพาะเมล็ดพืชเพิ่มดีกว่า จำได้ไหมว่าทำยังไง? (แตะที่แปลง!)
TID_TUTORIAL_26,สัตว์แฮปปี้ฟาร์มก็มีสุข สร้างเครื่องบดอาหารสัตว์เพื่อให้สัตว์ของคุณไม่ต้องทนหิว!
TID_TUTORIAL_26a,ซื้อเครื่องบดอาหารสัตว์โดยการลากมันจากร้านค้าไปยังที่ดินของคุณ
TID_TUTORIAL_27,ธุรกิจกำลังเติบโต! เก็บเกี่ยวพืชผล อบขนมปัง และผลิตไข่มาขายเรื่อยๆ นะ
TID_TUTORIAL_27a,อย่าลืมว่าคุณสามารถเร่งพืชให้เก็บเกี่ยวได้โดยการแตะปุ่มเร่ง
TID_TUTORIAL_28,ปรื๊น ปรื๊น รถกระบะส่งของมาแล้ว! เตรียมรับคำสั่งซื้อเป็นกระบุงได้เลย!
TID_TUTORIAL_29,กระดานคำสั่งซื้อจะแสดงว่ามีคำสั่งซื้ออะไรบ้าง หาเงินและรับประสบการณ์จากการส่งของตามคำสั่งซื้อ
TID_TUTORIAL_29a,แตะรถกระบะหรือกระดานคำสั่งซื้อเพื่อเริ่มส่งของครั้งแรก
TID_TUTORIAL_30,รถออกไปแล้ว! ตอนนี้รถกระบะส่งของกำลังไปยังโรงเรียนอนุบาล
TID_TUTORIAL_30a,ชาวบ้านร้านตลาดอยากได้ผลผลิตสดใหม่จากฟาร์มของเราเพิ่มอีกเรื่อยๆ เลยนะ! ส่งของตามคำสั่งซื้ออีกใบดีกว่า
TID_TUTORIAL_31,เริ่มเข้าที่เข้าทางแล้วสินะ! สำหรับตอนนี้ ขอให้ทำฟาร์มและส่งของให้ครบตามคำสั่งซื้อต่อไป
TID_TUTORIAL_31a,ทำฟาร์มและส่งของให้ครบตามคำสั่งซื้อไปเรื่อยๆ นะ!
TID_TUTORIAL_36,มออออ! ไม่ได้มีวัวอยู่แถวนี้มานานแล้วนะ!
TID_TUTORIAL_36a,ซื้อคอกวัวด้วยการลากมันออกมาจากร้านค้า
TID_TUTORIAL_37a,จากนั้นก็ลากวัวลงไปในคอก
TID_TUTORIAL_38a,วัวหิวแล้ว ให้อาหารเลย!
TID_TUTORIAL_39,วัวที่ได้กินอิ่มจะให้นมเปี่ยมคุณค่าทางสารอาหารสำหรับให้คุณเก็บไป
TID_TUTORIAL_40,เมื่อมีเงินมากพอ ให้ซื้อโรงนมจากร้านค้า โรงนมสามารถแปรรูปนมเป็นครีม เนย หรือกระทั่งชีสได้!
TID_TUTORIAL_42,ไง! ฉันชื่อไมค์ ฉันเปิดโรงสีเก่าอยู่ใกล้ๆ เมือง ฟาร์มของคุณน่ารักไม่เบาเลย มาตั้งชื่อฟาร์มเท่ๆ กันไหม? แต่จำไว้ว่าทางที่ดีคุณไม่ควรใช้ชื่อจริงในการตั้งชื่อฟาร์มนะ
TID_TUTORIAL_45,ดีจังที่มีคนมาดูแลที่นี่ แล้วเจอกันนะ!
TID_TUTORIAL_46,กลิ่นหอมๆ นี่มาจากทางนี้รึเปล่านะ? โอ้ ฉันนี่มารยาทแย่จัง! ฉันชื่อโจนค่ะ
TID_TUTORIAL_GUEST1,เรามีแขกมาเยี่ยม! แตะที่ตัวเขาเพื่อดูว่าเขาจะพูดอะไร!
TID_TUTORIAL_GUEST2,แขกมาอีกคนแล้ว! ถามเธอดีกว่าว่ามีเหตุอันใด
TID_TUTORIAL_47a,เปิดผ้าคลุมออกก่อนด้วยการแตะมัน
TID_TUTORIAL_48a,รอให้รถกระบะส่งของเอารางวัลกลับมาให้คุณ จากนั้นก็แตะรถเพื่อรับรางวัล!
TID_TUTORIAL_47,ดูสิ เด็กๆ จากโรงเรียนอนุบาลส่งจดหมายขอบคุณมาให้ด้วย!
TID_TUTORIAL_GUEST3,ผู้ชายตัวโตคนนี้เป็นใครนะ?
TID_TUTORIAL_48,สวัสดี! ผมชื่อเกร็ก เป็นเพื่อนบ้านคุณ ถ้าคุณต้องการเครื่องไม้เครื่องมือ ให้มาที่ฟาร์มผมได้ เดี๋ยวผมจัดหาให้!
TID_TUTORIAL_49,เราต้องการเครื่องมือมาแผ้วถางที่ดิน ไปฟาร์ม\nเกร็กกันเถอะ!
TID_TUTORIAL_GUEST4,เปิดแถบเพื่อน!
TID_TUTORIAL_50,ยินดีต้อนรับสู่ฟาร์มของผม! อย่าลืมดูว่าผมมีอะไรขายบ้างในร้านริมทางของผม!
TID_TUTORIAL_51,ขอบคุณที่แวะมา! คุณจะมาเยี่ยมผมหรือเพื่อนๆ ของคุณเมื่อไหร่ก็ได้ที่คุณต้องการ!
TID_TUTORIAL_52,ว้าว เกร็กช่วยได้เยอะเลย คุณสามารถเพิ่มเพื่อนเป็นเพื่อนบ้านได้อีกจากแถบเพื่อน
TID_TUTORIAL_53,นี่คือร้านริมทางของคุณ คุณสามารถวางขายสินค้าของคุณให้ผู้เล่นคนอื่นมาซื้อได้
TID_TUTORIAL_54,คุณสามารถเลือกได้ว่าจะขายผลิตภัณฑ์จำนวนเท่าไหร่ ตั้งราคา และจะโฆษณาขายในหนังสือพิมพ์ท้องถิ่นก็ยังได้! ลองดูสิ!
TID_TUTORIAL_54a,ดูร้านริมทางของคุณสิ!
TID_TUTORIAL_55,คุณสามารถหาหนังสือพิมพ์พบได้ในกล่องไปรษณีย์ ในนั้นคุณจะเห็นว่าคนอื่นๆ มีอะไรขายบ้าง
TID_TUTORIAL_55a,แตะกล่องไปรษณีย์เพื่ออ่านหนังสือพิมพ์ท้องถิ่น!
TID_TUTORIAL_56,หวัดดี! ต้องการความช่วยเหลือในการปลูกพืชใหม่ไหม? ผมช่วยแนะให้ได้นะ!
TID_TUTORIAL_57,หวัดดี! แค่มาบอกว่าคุณสามารถย้าย หมุน หรือแม้แต่เก็บสิ่งของให้พ้นได้ แรกสุดให้แตะสิ่งของค้างไว้
TID_TUTORIAL_57_MOBILE,หวัดดี! แค่มาบอกว่าคุณสามารถย้าย หมุน หรือแม้แต่เก็บสิ่งของให้พ้นได้ แรกสุดให้แตะสิ่งของค้างไว้
TID_TUTORIAL_58a,บัตรกำนัลคืออะไร?
TID_TUTORIAL_59,บัตรเหล่านี้คือของสะสมที่ได้จากการทำตามคำสั่งซื้อทางเรือและจากที่อื่นๆ! ใบนี้ของคุณ...
TID_TUTORIAL_59a,ขอบคุณ!
TID_TUTORIAL_60,แตะที่บ้านแล้วเติมอาหารอร่อยๆ ใส่ถ้วย!
TID_TUTORIAL_61,คราวนี้ก็รอจนกว่าสัตว์เลี้ยงของคุณจะกลับมานอน
TID_TUTORIAL_62,สัตว์เลี้ยงของคุณมีความสุขและผ่อนคลาย! แตะตัวมันเพื่อปลุกและรับแต้ม
TID_TUTORIAL_63,ดูสัตว์เลี้ยงของคุณเล่นสนุกสิ! อย่าลืมให้อาหารมันประจำ มันจะได้มีความสุข แล้วสะสมแต้มหลังจากที่มันหลับ
TID_TUTORIAL_63_MOBILE,ดูสัตว์เลี้ยงของคุณเล่นสนุกสิ! อย่าลืมให้อาหารมันประจำ มันจะได้มีความสุข แล้วสะสมแต้มหลังจากที่มันหลับ
TID_TUTORIAL_64,หวัดดี! อยากให้ช่วยทำพิซซ่าไหม?
TID_TUTORIAL_65,ได้เวลาเริ่มเก็บเหรียญแล้ว ท่าเรือต้องการการซ่อมแซม
TID_TUTORIAL_66,ต้องการพื้นที่เพิ่มใช่ไหม? ไม่ต้องห่วง! คุณสามารถขยายพื้นที่ได้แล้ว
TID_TUTORIAL_67,ตอนนี้น่าจะเหมาะแก่การซ่อมเหมืองเก่านี่นะ ใครจะไปรู้ว่าในนั้นจะมีสมบัติอะไรซ่อนอยู่
TID_TUTORIAL_68,ยินดีด้วย ท่าเรือซ่อมแล้ว! ตอนนี้คุณสามารถส่งของตามคำสั่งซื้อทางเรือได้แล้ว
TID_TUTORIAL_69,นี่เป็นกระดานผู้นำของเรือ แตะเพื่อดูว่าคุณและเพื่อนๆ อยู่อันดับไหนกันบ้าง
TID_TUTORIAL_70,เห็นกล่องไปรษณีย์ใหม่เอี่ยมนี่ไหม? ผมว่าใครสักคนกำลังมาที่นี่ ได้ยินเสียงผิวปากไหม?
TID_TUTORIAL_71,เย้! คุณได้รับจดหมายฉบับแรกของคุณ ไปเปิดโดยการคลิกกล่องไปรษณีย์ได้เลย
TID_TUTORIAL_72,เยี่ยมมาก! เกร็กได้ส่งบัตรกำนัลของขวัญมาให้คุณ เก็บสะสมให้มากพอ จะได้ใช้สั่งแพคเกจปริศนาจากแค็ตตาล็อกได้
TID_TUTORIAL_72_MOBILE,เยี่ยมมาก! เกร็กได้ส่งบัตรกำนัลของขวัญมาให้คุณ เก็บสะสมให้มากพอ จะได้ใช้สั่งแพคเกจปริศนาจากแค็ตตาล็อกได้
TID_TUTORIAL_73,จะได้จดหมายเพิ่มขึ้นได้อย่างไร? ก็แค่ไปช่วยชาวไร่คนอื่นๆ ในไร่ของพวกเขา แล้วพวกเขาก็อาจจะส่งจดหมายมาให้คุณเป็นการขอบคุณ!
TID_TUTORIAL_74,แล้วววววก็ ถ้าโชคดี ในจดหมายนั้นอาจจะมีบัตรของขวัญ อย่าลืมนะ บุรุษไปรษณีย์จะมาส่งจดหมายให้คุณวันละครั้ง
TID_TUTORIAL_GUEST5,แตะรูปเกร็กเพื่อแวะไปเยี่ยมฟาร์มของเขา!
TID_TUTORIAL_GUEST6,แตะร้านริมทางของเกร็กเพื่อดูว่าเขามีอะไรขายบ้าง!
TID_LOADING_SCREEN_CONNECTING,กำลังเชื่อมต่อ
TID_LOADING_SCREEN_LOADING,กำลังโหลด
TID_LOADING_SCREEN_UPDATING,กำลังอัปเดต
TID_BUTTON_INCREASE_CAPACITY,เพิ่มความจุ
TID_BUTTON_STORAGE,กลับ
TID_STORAGE_UPGRADE_DESCRIPTION,เพิ่มความจุเป็น <CAPACITY>
TID_PLANK_DESCRIPTION,ใช้เพื่ออัปเกรดโรงนา
TID_NAIL_DESCRIPTION,ใช้เพื่ออัปเกรดยุ้งฉาง
TID_BOLT_DESCRIPTION,ใช้เพื่ออัปเกรดโรงนา
TID_SCREW_DESCRIPTION,ใช้เพื่ออัปเกรดยุ้งฉาง
TID_DUCT_TAPE_DESCRIPTION,ใช้เพื่ออัปเกรดโรงนา
TID_WOOD_PANEL_DESCRIPTION,ใช้เพื่ออัปเกรดยุ้งฉาง
TID_DYNAMITE_DESCRIPTION,ใช้เพื่อทำลายหินก้อนเล็ก
TID_DEMOLITION_CHARGE_DESCRIPTION,ใช้เพื่อทำลายหินก้อนใหญ่
TID_AXE_DESCRIPTION,ใช้เพื่อโค่นต้นไม้ต้นเล็ก
TID_SAW_DESCRIPTION,ใช้เพื่อโค่นต้นไม้ต้นใหญ่
TID_SHOVEL_DESCRIPTION,ใช้เพื่อขุดกลบบึง
TID_DAIRY_PRODUCT_DESCRIPTION,ผลิตในโรงผลิตนม
TID_BARBECUE_PRODUCT_DESCRIPTION,ผลิตในเตาบาร์บีคิว
TID_BAKERY_PRODUCT_DESCRIPTION,ผลิตในเตาอบ
TID_LOOM_PRODUCT_DESCRIPTION,ผลิตในหูกทอผ้า
TID_CAKE_OVEN_PRODUCT_DESCRIPTION,ผลิตในเตาอบเค้ก
TID_PIE_OVEN_PRODUCT_DESCRIPTION,ผลิตในเตาอบพาย
TID_POPCORN_POT_PRODUCT_DESCRIPTION,ผลิตในเตาป๊อปคอร์น
TID_SUGAR_MILL_PRODUCT_DESCRIPTION,ผลิตในเครื่องคั้นอ้อย
TID_FEED_MILL_PRODUCT_DESCRIPTION,ผลิตในเครื่องบดอาหารสัตว์
TID_JUICE_PRESS_PRODUCT_DESCRIPTION,ผลิตในเครื่องคั้นน้ำผลไม้
TID_JAM_MAKER_PRODUCT_DESCRIPTION,ผลิตในเครื่องทำแยม
TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,ผลิตในเครื่องทำไอศกรีม
TID_JEWELER_PRODUCT_DESCRIPTION,ผลิตในโรงผลิตเครื่องประดับ
TID_APPLE_DESCRIPTION,เก็บจากต้นแอปเปิล
TID_CHERRY_DESCRIPTION,เก็บจากต้นเชอร์รี
TID_CACAO_DESCRIPTION,เก็บจากต้นโกโก้
TID_RASPBERRY_DESCRIPTION,เก็บจากพุ่มราสเบอร์รี
TID_BLACKBERRY_DESCRIPTION,เก็บจากพุ่มแบล็กเบอร์รี
TID_EGG_DESCRIPTION,เก็บจากไก่
TID_MILK_DESCRIPTION,เก็บจากวัว
TID_WOOL_DESCRIPTION,เก็บจากแกะ
TID_BACON_DESCRIPTION,เก็บจากหมู
TID_GOAT_MILK_DESCRIPTION,เก็บจากแพะ
TID_CASH,เหรียญ
TID_DIAMONDS,เพชร
TID_CASH_DESCRIPTION,ซื้อผลิตภัณฑ์และการปรับปรุงฟาร์มของคุณ
