TID,ID
TID_ORDER_TITLE_09,Pekuburan Grant
TID_ORDER_TABLE_WAITING,Silakan Tunggu...
TID_ORDER_TABLE_WAITING_TEXT,Pesanan ini tidak tersedia. Tunggu atau percepat!
TID_SOCIAL_LOGIN_TITLE,Temukan Petani Lainnya!
TID_SOCIAL_LOGIN_1_TEXT,Masuk ke <SOCIAL_1> dan mulailah berdagang dengan teman-temanmu!
TID_SOCIAL_LOGIN_2_TEXT,Masuk ke <SOCIAL_1> atau <SOCIAL_2> dan mulailah berdagang dengan teman-temanmu!
TID_ROADSIDE_SHOP_TITLE,Toko Pinggir Jalan
TID_ROADSIDE_SHOP_FRIEND_TITLE,Toko Pinggir Jalan <NAME>
TID_ROADSIDE_SHOP_ITEM_COUNT,<COUNT>x
TID_ROADSIDE_SHOP_ITEM_SOLD,TERJUAL!
TID_ROADSIDE_SHOP_CREATE_NEW_SALE,Buat Obral Baru
TID_ROADSIDE_SHOP_NEW_SALE_TITLE,Obral Baru
TID_ROADSIDE_SHOP_NEW_SALE_ADJUST_PRICE,Sesuaikan Harga
TID_ROADSIDE_SHOP_NEW_SALE_CONFIRM_BUTTON,Jual obral
TID_ROADSIDE_SHOP_ADVERTISE,Pasang iklan
TID_ROADSIDE_SHOP_ADVERTISE_WITH_TIME,Pasang iklan sekarang
TID_SHOP_TITLE,Toko
TID_TUTORIAL_01,Apa Kabar! Saya Tn. Wicker dan akan membantu memulai pertanianmu yang baru!
TID_TUTORIAL_02a,Ketuk ladang gandum dan ambil sabitnya. Lalu panen dengan menyeretnya melintasi gandum.
TID_TUTORIAL_03a,Ketuk ladang kosong. Lalu seret gandum ke atas ladang untuk menanam benihnya.
TID_TUTORIAL_04,"Benih butuh waktu untuk tumbuh. Saat dipanen, setiap ladang menghasilkan dua hasil panen."
TID_TUTORIAL_05a,Ketuk rumahmu dan cat dengan menyeret kuas di atasnya.
TID_TUTORIAL_06a,Keren! Lumbung juga bisa diwarnai...
TID_TUTORIAL_07a,Kamu juga harus mengecat silonya!
TID_TUTORIAL_10,Bagus sekali! Sekarang mari kita undang teman berbulu ke pesta!
TID_TUTORIAL_10a,Seret ayam dari toko ke kandang ayam.
TID_TUTORIAL_11a,Mari kita beli seekor ayam lagi!
TID_TUTORIAL_12a,Bagaimana kalau membeli ayam ketiga?
TID_TUTORIAL_13a,Ketuk ayam dan seret karung pakan di atas ayam untuk memberinya makan.
TID_TUTORIAL_14a,Ketuk ayam lalu ketuk tombol \qPercepat\q!
TID_TUTORIAL_14b,Ketuk seekor ayam lalu ketuk tombol percepat dua kali!
TID_TUTORIAL_14c,Ketuk ayam lalu tekan tombol percepat!
TID_TUTORIAL_15a,Spektaktelur! Percepat juga ayam kedua.
TID_TUTORIAL_16a,Teluarrbiasa! Sekarang percepat ayam terakhir.
TID_TUTORIAL_17a,Seret keranjang ke atas semua ayam untuk mengambil telur.
TID_TUTORIAL_20,Bagus! Bagaimana jika gandum ini diubah menjadi roti di toko roti yang baru?
TID_TUTORIAL_20a,Buka menu toko dengan mengetuk tombol di sudut kiri bawah. Beli toko roti dengan menyeretnya ke lahan.
TID_TUTORIAL_20a_MOBILE,Buka menu toko dengan mengetuk tombol di sudut kiri bawah. Beli toko roti dengan menyeretnya ke lahan.
TID_TUTORIAL_21a,Tunggu hingga pembangunan selesai atau percepat dengan Berlian.
TID_TUTORIAL_22a,Ketuk toko roti dan seret roti ke oven.
TID_TUTORIAL_23a,"Selesaikan memanggang saat ini juga dengan menekan tombol \qPercepat\q di bawah roti. Hmmm, baunya enak!"
TID_TUTORIAL_24,"Saat kamu naik level, peningkatan baru akan terbuka. Sekarang ada tiga petak ladang baru yang menunggumu di toko!"
TID_TUTORIAL_24a,Buka menu toko dan seret tiga petak ladang yang baru ke lahan.
TID_TUTORIAL_25a,Mari kita menanam lebih banyak benih. Masih ingat caranya? (Ketuk di ladang!)
TID_TUTORIAL_26,"Hewan senang, pertanian pun menjadi tenteram. Pastikan hewan-hewanmu tidak pernah kelaparan dengan membuat pabrik pakan!"
TID_TUTORIAL_26a,Beli pabrik pakan dengan menyeretnya dari toko ke lahan.
TID_TUTORIAL_27,"Bisnisnya berkembang! Teruslah memanen ladang, membuat roti, dan menghasilkan telur untuk dijual."
TID_TUTORIAL_27a,"Ingatlah, kamu bisa mempercepat panen dengan mengetuk tombol Percepat."
TID_TUTORIAL_28,Din-din! Truk pengiriman sudah datang! Bersiaplah kebanjiran pesanan!
TID_TUTORIAL_29,Papan pesanan menunjukkan pesanan yang tersedia. Dapatkan uang dan pengalaman dengan mengirimkannya.
TID_TUTORIAL_29a,Ketuk truk atau papan pesanan untuk melakukan pengiriman pertama.
TID_TUTORIAL_30,Itu dia! Truk pengiriman sekarang sedang dalam perjalanan menuju TK.
TID_TUTORIAL_30a,Hasil panen kita yang segar ini selalu jadi favorit warga! Mari kita selesaikan pesanan lain.
TID_TUTORIAL_31,"Kamu sudah mulai mahir menguasainya! Mulai sekarang, teruslah menanam dan selesaikan pesanan."
TID_TUTORIAL_31a,Terus menanam dan menyelesaikan pesanan!
TID_TUTORIAL_36,Moooo! Sudah cukup lama sejak terakhir kali kita memelihara sapi di sini!
TID_TUTORIAL_36a,Beli padang sapi dengan menyeretnya dari toko.
TID_TUTORIAL_37a,"Selanjutnya, seret sapi ke dalam padang."
TID_TUTORIAL_38a,"Ia kelaparan, ayo beri makan!"
TID_TUTORIAL_39,Sapi yang cukup makan akan menghasilkan susu bergizi yang bisa kamu kumpulkan.
TID_TUTORIAL_40,"Saat uangmu cukup, beli pengolahan susu dari toko. Pengolahan susu bisa mengolah susu menjadi krim, mentega, dan bahkan keju!"
TID_TUTORIAL_42,"Spada! Aku Mike, pemilik penggilingan di Kota! Wah, aku kagum dengan Pertanianmu! Apa namanya? Coba pilih nama yang unik. Sedikit petunjuk: Jangan gunakan nama asli!"
TID_TUTORIAL_45,Lega rasanya mengetahui ada orang yang mau mengurus tempat ini. Sampai berjumpa lagi!
TID_TUTORIAL_46,"Apakah bau yang menggoda ini datang dari sini? Oh, maaf kalau aku tidak sopan! Namaku Joan."
TID_TUTORIAL_GUEST1,Kita kedatangan pengunjung! Ketuk pengunjung untuk mengetahui apa yang ia ingin katakan!
TID_TUTORIAL_GUEST2,Ada pengunjung lain! Lebih baik tanyakan apa keinginannya.
TID_TUTORIAL_47a,"Pertama-tama, kita lepaskan penutup dengan mengetuknya."
TID_TUTORIAL_48a,"Tunggu truk pengiriman kembali membawa hadiahmu, lalu ketuk untuk mengambilnya!"
TID_TUTORIAL_47,"Lihat, anak-anak TK itu mengirimimu ucapan terima kasih!"
TID_TUTORIAL_GUEST3,Siapa pria besar itu?
TID_TUTORIAL_48,"Halo! Aku Greg, tetanggamu. Jika kamu perlu peralatan, datang saja ke tempatku. Aku akan membantumu!"
TID_TUTORIAL_49,Kita bisa menggunakan alat untuk membersihkan lahan. Mari kita kunjungi pertanian Greg!
TID_TUTORIAL_GUEST4,Buka Bilah Teman!
TID_TUTORIAL_50,Selamat datang di pertanianku! Pastikan untuk melihat barang yang kujual di Toko Pinggir Jalanku!
TID_TUTORIAL_51,"Terima kasih telah berkunjung! Jangan lupa, kamu bisa mengunjungiku atau teman-temanmu kapan saja!"
TID_TUTORIAL_52,"Wah, Greg benar-benar baik hati! Kamu bisa menambahkan lebih banyak teman sebagai tetangga dari Bilah Teman."
TID_TUTORIAL_53,Ini adalah Toko Pinggir Jalan. Kamu bisa menjual barang untuk diobral di sana agar pemain lain bisa membelinya.
TID_TUTORIAL_54,"Kamu bisa menentukan jumlah produk yang ingin dijual, menetapkan harga, dan bahkan beriklan di surat kabar setempat! Coba sekarang!"
TID_TUTORIAL_54a,Lihat Toko Pinggir Jalanku!
TID_TUTORIAL_55,"Kamu bisa menemukan surat kabar di kotak surat. Dari surat kabar, kamu bisa mengetahui apa yang dijual orang lain."
TID_TUTORIAL_55a,Ketuk kotak surat untuk membaca surat kabar lokal!
TID_TUTORIAL_56,Apa Kabar! Butuh bantuan menanami tanaman barumu? Saya bisa memberimu beberapa petunjuk!
TID_TUTORIAL_57,"Hai! Informasi saja, kamu bisa memindahkan, memutar, atau bahkan membuang objek. Pertama-tama, ketuk dan tahan sebuah benda."
TID_TUTORIAL_57_MOBILE,"Hai! Informasi saja, kamu bisa memindahkan, memutar, atau bahkan membuang objek. Pertama-tama, ketuk dan tahan sebuah benda."
TID_TUTORIAL_58a,Apakah Voucher itu?
TID_TUTORIAL_59,Voucher diperoleh dari menyelesaikan pesanan perahu dan di tempat lain! Ini ada satu untukmu...
TID_TUTORIAL_59a,Terima kasih!
TID_TUTORIAL_60,Ketuk pada rumah dan isi mangkuk yang kosong dengan makanan lezat!
TID_TUTORIAL_61,Sekarang tunggu sampai hewan peliharaanmu kembali tidur.
TID_TUTORIAL_62,Hewan peliharaanmu merasa senang dan tenang! Tekan untuk membangunkannya dan mengumpulkan poin.
TID_TUTORIAL_63,Lihat hewan peliharaanmu tampak ceria bermain! Jangan lupa memberinya makan secara teratur agar tetap senang dan kumpulkan poin setelah hewan tertidur.
TID_TUTORIAL_63_MOBILE,Lihat hewan peliharaanmu tampak ceria bermain! Jangan lupa memberinya makan secara teratur agar tetap senang dan kumpulkan poin setelah hewan tertidur.
TID_TUTORIAL_64,Apa kabar! Butuh bantuan tentang piza?
TID_TUTORIAL_65,Waktunya menghemat koin. Dok ini butuh perbaikan.
TID_TUTORIAL_66,Butuh ruang lagi? Beres! Kini kamu bisa mulai memperluas.
TID_TUTORIAL_67,Mungkin kini waktunya untuk memperbaiki tambang lama. Siapa tahu ada harta karun di sana.
TID_TUTORIAL_68,"Selamat, dok sudah diperbaiki! Pesanan perahu kini dapat diselesaikan."
TID_TUTORIAL_69,Ini adalah papan skor perahu. Ketuk untuk melihat prestasimu dan teman-temanmu.
TID_TUTORIAL_70,"Sudahkah kamu melihat kotak pos baru dan berkilap? Oh, kurasa ada orang yang datang. Apakah kamu dengar siulannya?"
TID_TUTORIAL_71,Yeaa! Kamu menerima surat yang pertama. Ayo buka dengan mengeklik kotak pos.
TID_TUTORIAL_72,Hebat! Greg telah mengirimkan voucher hadiah untukmu. Kumpulkan yang banyak dan kamu bisa memesan paket misteri lewat katalog.
TID_TUTORIAL_72_MOBILE,Hebat! Greg telah mengirimkan voucher hadiah untukmu. Kumpulkan yang banyak dan kamu bisa memesan paket misteri lewat katalog.
TID_TUTORIAL_73,Bagaimana cara memperoleh lebih banyak surat? Cukup bantu petani lain di pertanian mereka dan mereka dapat membalas dengan memberi satu surat!
TID_TUTORIAL_74,"Dan hanya dengan sedikit keberuntungan, kamu mungkin akan dapat kartu hadiah. Dan jangan lupa: Tukang pos akan berkunjung sehari sekali."
TID_TUTORIAL_GUEST5,Ketuk gambar Greg untuk mengunjungi pertaniannya!
TID_TUTORIAL_GUEST6,Ketuk Toko Pinggir Jalan Greg untuk mengetahui apa yang sedang ia obral!
TID_LOADING_SCREEN_CONNECTING,Menyambungkan
TID_LOADING_SCREEN_LOADING,Memuat
TID_LOADING_SCREEN_UPDATING,Memperbarui
TID_BUTTON_INCREASE_CAPACITY,Tingkatkan Penyimpanan
TID_BUTTON_STORAGE,Kembali
TID_STORAGE_UPGRADE_DESCRIPTION,Tingkatkan Penyimpanan menjadi <CAPACITY>
TID_PLANK_DESCRIPTION,Gunakan untuk meningkatkan Lumbung
TID_NAIL_DESCRIPTION,Gunakan untuk meningkatkan Silo
TID_BOLT_DESCRIPTION,Gunakan untuk meningkatkan Lumbung
TID_SCREW_DESCRIPTION,Gunakan untuk meningkatkan Silo
TID_DUCT_TAPE_DESCRIPTION,Gunakan untuk meningkatkan Lumbung
TID_WOOD_PANEL_DESCRIPTION,Gunakan untuk meningkatkan Silo
TID_DYNAMITE_DESCRIPTION,Gunakan untuk menghancurkan batu kecil
TID_DEMOLITION_CHARGE_DESCRIPTION,Gunakan untuk menghancurkan batu besar
TID_AXE_DESCRIPTION,Gunakan untuk memangkas pohon kecil
TID_SAW_DESCRIPTION,Gunakan untuk memangkas pohon besar
TID_SHOVEL_DESCRIPTION,Gunakan untuk membuang tanah gambut
TID_DAIRY_PRODUCT_DESCRIPTION,Dibuat di Pengolahan Susu
TID_BARBECUE_PRODUCT_DESCRIPTION,Dibuat di Panggangan BBQ
TID_BAKERY_PRODUCT_DESCRIPTION,Dibuat di Toko Roti
TID_LOOM_PRODUCT_DESCRIPTION,Dibuat oleh Mesin Tenun
TID_CAKE_OVEN_PRODUCT_DESCRIPTION,Dibuat di Oven Kue
TID_PIE_OVEN_PRODUCT_DESCRIPTION,Dibuat di Oven Pai
TID_POPCORN_POT_PRODUCT_DESCRIPTION,Dibuat di Panci Berondong
TID_SUGAR_MILL_PRODUCT_DESCRIPTION,Dibuat di Pabrik Gula
TID_FEED_MILL_PRODUCT_DESCRIPTION,Dibuat di Pabrik Pakan
TID_JUICE_PRESS_PRODUCT_DESCRIPTION,Dibuat di Pemeras Jus
TID_JAM_MAKER_PRODUCT_DESCRIPTION,Dibuat di Pembuat Selai
TID_ICE_CREAM_MAKER_PRODUCT_DESCRIPTION,Dibuat di Mesin Es Krim
TID_JEWELER_PRODUCT_DESCRIPTION,Dibuat di Pembuat Perhiasan
TID_APPLE_DESCRIPTION,Ambil dari Pohon Apel
TID_CHERRY_DESCRIPTION,Ambil dari Pohon Ceri
TID_CACAO_DESCRIPTION,Ambil dari Pohon Kakao
TID_RASPBERRY_DESCRIPTION,Ambil dari Semak Rasberi
TID_BLACKBERRY_DESCRIPTION,Ambil dari Semak Beri Hitam
TID_EGG_DESCRIPTION,Ambil dari Ayam
TID_MILK_DESCRIPTION,Ambil dari Sapi
TID_WOOL_DESCRIPTION,Ambil dari Domba
TID_BACON_DESCRIPTION,Ambil dari Babi
TID_GOAT_MILK_DESCRIPTION,Ambil dari Kambing
TID_CASH,Koin
TID_DIAMONDS,Berlian
TID_CASH_DESCRIPTION,Beli barang dan peningkatan untuk pertanianmu
TID_DIAMONDS_DESCRIPTION,Genjot produksi & beli barang yang tidak ada!
TID_FACEBOOK,Facebook
TID_GAME_CENTER,Game Center
TID_FACEBOOK_ID_NOT_MATCH_TITLE,Peringatan <SOCIAL_MEDIA>
TID_FACEBOOK_ID_NOT_MATCH,Simpan game saat ini di akun <SOCIAL_MEDIA> yang baru?
TID_FACEBOOK_ID_NOT_MATCH_ACTION_1,"Ya, ganti akun"
TID_FACEBOOK_ID_NOT_MATCH_ACTION_2,"Tidak, biarkan akun saat ini"
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_TITLE,Pilih Pertanianmu
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM,"Kami menemukan pertanian lain yang tercantum di akun <SOCIAL_MEDIA> ini:\n(Farm <NEW_FARM_NAME>, Level <NEW_LEVEL>)\n\nKamu ingin memuatnya?\n\nPeringatan: (Pertanian <OLD_FARM_NAME>saat ini, Level <OLD_LEVEL>) akan terputus."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_MOBILE,"Kami menemukan pertanian lain yang tercantum di akun <SOCIAL_MEDIA> ini:\n(Farm <NEW_FARM_NAME>, Level <NEW_LEVEL>)\n\nKamu ingin memuatnya?\n\nPeringatan: (Pertanian <OLD_FARM_NAME>saat ini, Level <OLD_LEVEL>) akan terputus."
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_1,"Ya, muat game"
TID_FACEBOOK_ID_BOUND_TO_OTHER_FARM_ACTION_2,"Tidak, biarkan game saat ini"
TID_INTRO_01,Hari ini dimulai seperti hari-hari lainnya...
TID_INTRO_02,Hingga surat itu sampai!
TID_INTRO_03,\qSalam dari pamanmu!\q
TID_INTRO_04,"\qJadi, maukah kamu menjadi petani?\q"
TID_INTRO_05,\qAku sudah memutuskan untuk pensiun. Pertanian itu jadi milikmu jika kamu mau!\q
TID_INTRO_06,Mari kita pergi! Kehidupan baru di pedesaan telah menanti.
TID_ANIMATION_Harvest,Memanen
TID_ANIMATION_Seeding,Menanam benih
TID_ANIMATION_CropInfo,Hasil Panen Berlipat!
TID_ANIMATION_BuyChicken,Beli 3 Ayam
TID_ANIMATION_FeedChicken,Beri Makan Ayam
TID_ANIMATION_CollectEggs,Ambil Telur
TID_ANIMATION_BakeBread,Panggang Roti
TID_ANIMATION_6th crop,Cara Menanam Benih Lain?
TID_ANIMATION_EditObjects,Kelola Pertanianmu
TID_ANIMATION_Pizzas,Bagaimana Menemukan Piza?
TID_ANIMATION_SendLetter,Cara mengirim surat
TID_DIAMOND_PACK_1,Tumpukan Berlian
TID_DIAMOND_PACK_2,Kantong Berlian
TID_DIAMOND_PACK_3,Karung Berlian
TID_DIAMOND_PACK_4,Kotak Berlian
TID_DIAMOND_PACK_5,Peti Berlian
TID_DIAMOND_PACK_6,Brankas Berlian
TID_DIAMOND_PACK_2_Birthday_1,Paket Ulang Tahun 1
TID_DIAMOND_PACK_3_Birthday_2,Paket Ulang Tahun 2
TID_DIAMOND_PACK_5_Birthday_3,Paket Ulang Tahun 3
TID_DIAMOND_PACK_2_Special_1,Paket Spesial 1
TID_DIAMOND_PACK_3_Special_2,Paket Spesial 2
TID_DIAMOND_PACK_5_Special_3,Paket Spesial 3
TID_CASH_PACK_1,Tumpukan Koin
TID_CASH_PACK_2,Kantong Koin
TID_CASH_PACK_3,Karung Koin
TID_CASH_PACK_4,Kotak Koin
TID_CASH_PACK_5,Peti Koin
TID_CASH_PACK_6,Brankas Koin
TID_BUY_DIAMONDS_TITLE,Toko Berlian
TID_BUY_CASH_TITLE,Toko Koin
TID_ORDER_SCREEN_SELECT_ORDER,Pilih pesanan di sebelah kiri.
TID_NOTIFICATION_BUILDING_CONSTRUCTION_READY,Konstruksi <NAME> selesai
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK,Semua hewan di peternakan merindukanmu!
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK_MOBILE,Semua hewan di peternakan merindukanmu!
TID_NOTIFICATION_CROPS_READY,Semua tanaman siap dipanen!
TID_NOTIFICATION_CHICKEN_READY,Telur siap diambil!
TID_NOTIFICATION_COW_READY,Susu siap diambil!
TID_NOTIFICATION_SHEEP_READY,Wol siap diambil!
TID_NOTIFICATION_PIG_READY,Daging Babi Asap siap diambil!
TID_NOTIFICATION_GOAT_READY,Susu Kambing siap diperah!
TID_NOTIFICATION_ORDER_READY,Kamu memiliki pesanan yang dapat kamu selesaikan!
TID_NOTIFICATION_DAILY_GIFT,"Hai Petani, hadiah gratis harian menunggumu!"
TID_NATIVE_DIALOG_CONNECTION_LOST_TITLE,Sambungan terputus
TID_NATIVE_DIALOG_CONNECTION_LOST_MESSAGE,"Sambunganmu dengan server terputus. Periksa sambungan internet, lalu coba lagi."
TID_NATIVE_DIALOG_CONNECTION_LOST_BUTTON,Coba lagi
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_TITLE,Sambungan terputus
